"RC","eigenvalue","variance_pct","cumulative_pct"
"RC1",4.9596,31,31
"RC2",2.6964,16.85,47.85
"RC3",2.3194,14.5,62.35
"RC4",1.7366,10.85,73.2
"RC5",1.0799,6.75,79.95
"RC6",1.0518,6.57,86.52
