"method","n_vars","n_comp","cum_var_pct","optimal_k","mean_sil","bss_tss","cluster_sizes","var_rc1_pct","var_rc2_pct","rank_sil","rank_bss","rank_pars","avg_rank"
"M3_c1_int",8,3,86.1,6,0.2627,0.6755,"5/8/10/26/29/29",51.6,21.3,1,2,1,1.33333333333333
"M4_c12_int",11,4,82.6,9,0.2275,0.6938,"5/5/8/10/12/14/15/16/22",43,16.8,2,1,2,1.66666666666667
"M2_all_int",16,6,86.5,9,0.1777,0.5633,"3/5/6/12/12/17/17/17/18",31,16.9,3,3,3.5,3.16666666666667
"M5_c1_int_slp",16,6,84.2,8,0.1671,0.5351,"3/5/11/14/15/15/19/25",30.8,15.1,4,4,3.5,3.83333333333333
"M6_c12_int_slp",22,8,80.2,10,0.148,0.516,"3/4/5/5/9/14/14/15/19/19",25.4,12.2,5,5,5,5
"M1_all_int_slp",32,11,81.5,10,0.1021,0.4128,"3/6/6/7/9/11/12/16/17/20",18.7,14.2,6,6,6,6
