"variable","RC1","RC2"
"int_number_of_non_nutritive_visits",0.961741549953432,0.00213346176816089
"int_total_actor",0.450643187396136,0.305183175831425
"int_median_non_nutritive_per_meal",0.97524730224927,-0.0311117386704358
"int_water_duration",-0.0768158425432724,0.89285026646594
"int_total_reactor",0.442745430250193,0.129834916166038
"int_median_visit_per_meal",0.941195245182372,-0.055160455501479
"int_feed_visits",0.965437390208662,0.0275802234456335
"int_water_visits",0.120404669949781,0.899470665532894
