"cow","cluster","RC1","RC2","RC3","RC4","RC5","RC6"
2007,3,-0.520824051405616,-0.836065929526824,0.721819439022515,-0.353757282282868,-0.0735516257805194,0.668097250058166
2051,8,-0.834186565591546,-0.101108444801755,-1.02366399782633,1.01433309670131,0.433501263605283,0.187762939903383
2063,8,0.898084994448246,0.567889437668333,-1.60814700652928,0.394189670932667,-0.393252550588712,-0.699771442176817
3067,3,-1.38130913433078,0.109174284820127,0.988154589546436,-1.60623463296748,-0.0231052395571489,0.493836076836323
3117,4,-0.0719866570305433,2.18971793235957,0.409218251021844,-0.884722835712312,-0.629782822689801,1.05775294826155
3131,4,0.0601932603894347,0.598230445698565,-0.302741991492332,0.442097642685116,-1.00329094908158,1.61891407100197
3150,3,-1.14625138133342,-1.54202882660215,0.2168583720187,0.594815489622582,1.11741858268331,0.838315363347608
4001,5,2.12783751043977,-0.754697770569248,-0.383347751763344,-0.531368247842269,-0.312455354707798,-0.474195529456902
4008,5,1.0809111523053,0.054939687896642,-0.296670039713875,-0.151105530155819,-0.498714088611264,1.1083343633218
4026,2,-0.518447367350407,-1.29263639037771,-0.460206116931168,-0.486624985269084,0.771591197940334,-0.609577274981744
4044,4,0.153583098043809,0.796558427396273,-0.172677661700453,-0.763303521301247,-1.76461274449528,0.0243208668444181
4057,3,-0.9201326435093,0.265838698085694,0.257535334818658,0.722074898143972,1.08895400957197,1.17134941744061
4072,5,0.388140575494299,-0.809112511432579,-0.246590692880443,0.56426345880772,-0.628373893007446,0.915626487930054
4080,5,0.227342338574499,-2.38263252998051,-0.175990635957599,0.78382610420327,-0.401549618414599,0.909501760509252
5005,8,-1.90481958590907,0.126010513187413,-2.31198087343283,-0.296878238488094,-0.0466651188574927,-1.24248192388159
5041,2,1.16354189829939,-0.534062727171668,-0.285878575666524,0.906199050864129,2.25160746204079,-1.01806358105808
5042,1,4.57063660346804,1.2655273862064,0.792659058783708,0.81034235076337,-1.22998321768251,0.396796642076342
5061,4,0.0115302408527278,1.85599499609821,0.414706851717037,0.272381699637946,-0.477220555444317,-0.236285545981638
5064,4,-0.445822461323237,0.862233575734866,0.425210508770626,-0.0466851707987254,-0.654399612511142,-0.494968040767232
5096,5,-0.144098110343424,-2.39029658898009,-1.62166436092634,-0.719073931738126,-1.08192846395527,-1.30218331856764
5100,2,0.883867029878001,-1.78713059871768,-0.886651744644921,-0.701034720359195,0.94165694727906,-0.542088843191566
5118,4,-0.790641385033099,1.98924888433858,-0.158644417810084,0.474199460030084,0.297373915653343,-0.00486515535937204
5120,6,-0.282548767283445,0.587866426506808,0.646233001046885,-0.109032707077693,0.386689275322333,-2.4148831480521
5123,4,0.0262677324178845,2.6622779120666,2.64302663726399,0.447726990655928,1.02141788175277,0.746800375201223
5124,7,0.0552558735101276,0.26842515775388,-1.33464850460221,2.47528582296795,1.62537081134073,-0.231959355251502
5133,4,0.747415077084904,1.13364498381751,0.206702812133308,-0.556617724123932,0.680329060250218,0.661961955933826
5135,6,-0.0287035225986332,1.01973083536691,1.2114919987809,-0.52189090162643,-1.2445658177692,-0.767025943929617
