"cow","cluster","RC1","RC2","RC3","RC4","RC5","RC6","RC7","RC8"
2007,1,-0.695960532869426,-0.303454494722736,0.901805766502285,-0.713532070697662,0.374093834410165,-0.549214396276911,-0.915345148644489,-0.444137097407621
2051,7,-0.868230966199804,-0.312614234065781,-0.758617906252314,0.982145308597051,0.00273663454035073,0.532643661470156,1.07076030958254,-0.108241058609031
2063,2,0.914264332416048,0.49360946443905,-0.575991604322034,0.332091802538726,0.31543200294753,-0.0486757926789913,-1.73188111782684,-0.891374788355948
3067,4,-1.1393055216907,0.597018965381568,0.160153708025625,-2.17420371498576,-1.07645490028035,1.59400778591442,0.641814927914283,1.2817159203727
3117,9,0.311669181950858,0.708731795232115,1.73424295381782,-1.36670987554628,0.310643197512633,-0.118057831008489,0.372347001963887,-0.486722298472447
3131,8,0.350220699731088,-0.559327765035048,-0.103063988297297,0.64562296290521,-1.98482666697883,-0.379022496632082,1.02256570338792,-0.183937102855122
3150,4,-1.40536418474491,-0.306475309040507,1.07612447129515,0.370528912892927,-0.00255525726039181,-0.24040009401874,0.716234080656082,0.523545090953386
4001,6,2.36658751596837,1.44126652464048,-1.08162831342144,-0.194641267219553,0.133421355176145,0.156702629487735,-0.787854529386389,0.161099593899665
4008,8,1.29591946987253,0.243541732557012,0.403187362468548,0.199478813123944,-1.23720926101186,-0.439813476339019,0.222095561529338,0.353062726665829
4026,2,-0.869428859379601,0.638155238075993,0.772899592165003,-0.952056434406683,1.28272037381277,0.52030988301378,-5.06230246740023,0.0855061678067079
4044,4,0.323557934659351,-1.38694522722738,-0.870836370891605,-0.934289513887672,-0.783662145984799,0.44106388190596,0.0930753979353814,0.40284671530412
4057,4,-0.831864255202162,0.00687836402569728,0.317735814288843,0.938057399262465,-0.00861046309329189,-1.16035284345561,1.3864075539898,1.72970526825968
4072,8,0.504172123632908,0.534534873339913,-0.223550998928792,0.755639144095859,-0.234241724885026,-0.582245701338482,-0.956577760765454,-1.07803059580776
4080,2,-0.148977795457232,-1.1650338436278,0.76745257673654,0.864811531322771,0.613862496908177,-0.30104470238267,-2.52144364355875,-0.131847596806628
5005,7,-1.77228337602557,1.46355206234416,-1.89776554751062,0.217250928809286,-0.536168165567212,1.37952956755771,-0.291866140432309,-1.79101423971855
5041,9,0.997174360106813,2.05794322137729,-0.718363574448731,0.88694746335181,1.50391141704138,0.0326713982945124,0.731196056506818,-0.721642890670897
5042,6,4.74688286693178,0.263086449630355,0.0411667932577241,0.945134957994034,0.111396212292786,1.86220052038334,-0.929360099334307,1.170852175606
5061,9,0.225275302760679,0.349651928049595,-0.205775444681625,0.00671886623562745,0.634136754344086,-1.13957946846274,0.0251639122885043,0.137115106076115
5064,4,-0.339919165400199,-0.755201961136305,-0.211356094815982,-0.296978427911698,0.34473852934493,0.0166996138590285,-0.17503143378418,0.983055797303282
5096,7,-0.287739410166494,-0.741343367740432,-2.41134521365614,0.00507261849756103,-0.0430526005518,-0.764354521003369,-0.114438690357587,-0.89778599707706
5100,1,0.26891888069469,-1.4732971902104,0.301800902835125,-0.55576746264903,1.30891959924005,-0.454390721560624,-1.0246346752303,-1.13318644916778
5118,4,-0.707407877436141,0.19629979294841,0.165658178644417,0.475483049208898,-0.536028059661629,0.880190717639494,0.564348738726391,0.83614703460366
5120,7,-0.206303480561465,0.86936908550165,-2.05754077595491,0.217694371176098,1.46937232067837,-0.399705794910513,0.790350850803971,0.00373447904549599
5123,9,0.53448170253094,2.38504117204986,1.66768007683448,0.31470416178554,0.604192259854579,-0.39624059428567,0.412592121763653,2.02872574658564
5124,3,-0.0821379833707913,0.882598781401014,0.446947180439117,2.33563279642155,1.22326510939757,-0.735770792823759,0.963121432799152,-1.87002431600264
5133,1,0.631718087439596,-0.0901613115149276,1.67313881761014,-0.567995737132617,1.08106691689878,-0.0700478182897652,0.251262737477116,-0.510239336361839
5135,7,0.310594741974035,-0.0196866459184711,-1.02643190914856,-1.24009793557884,0.185107999036524,0.29656146492333,0.717223878909721,0.500495217154148
5137,8,0.305370196136591,-1.06342127641295,-1.18751971269683,-0.073336277787835,-1.36694041818568,-1.52323566840973,0.428518900185449,-0.79529273812243
5139,4,-0.880442468159506,0.766721547863925,0.483238575464835,-1.11472718925579,-0.333150977544082,1.09037080461179,0.101833666458465,-0.267066145728518
5140,1,1.27234370370657,-1.45095796444615,0.424440998011975,0.187933957471732,-1.0091306929831,-0.743843868315944,0.309630750757591,-1.14454340971125
5145,8,0.979539566980025,-0.537382166369074,-0.476329900719611,-0.623196344581681,-1.74642654987828,0.12646290613367,-1.02435238038087,0.34860898572201
6004,7,-1.19277241893964,1.81153749698267,-0.750019120439441,-1.3431017023983,-0.204470188435425,-0.764378673072759,0.532967122559192,-1.32720436235221
6005,4,0.310064583843207,-1.37264005318265,-0.920057190451447,-0.383496191185226,0.489868296874035,-1.23718200196748,-0.376132385625091,0.478728211964936
6011,6,2.46092458415579,0.150021963808925,-0.0765336940962807,-2.17558198159524,0.786037244606138,2.49125080333667,2.19611130199336,1.11415387496461
6022,4,-0.67334195507735,-0.822212254249498,-0.267451941161611,1.31657704034749,1.09273678156664,-0.0379068702168783,0.570411821823787,2.59898011022197
6025,4,-1.14178382894559,-0.751642949476912,-0.137006607215641,2.34067954013807,-0.0602939597508094,0.996528365345894,-0.696439141023233,3.13712595111705
6027,9,1.12555862034593,0.731279100394543,0.901508037217104,-0.509984458338802,1.2647829286155,-0.567400316066523,-0.368667356929308,-0.683217738264877
6028,9,0.642615402505896,1.78458397459285,-0.549640168144678,0.181239260044834,2.34971314871831,-1.2813857162976,-0.646301980040485,0.271061907980961
6029,7,-0.504841644913197,1.3619822899802,-2.44902704325631,-0.147364579653137,-0.270978692309751,-0.25751180015732,-0.342224535933957,0.508578237921446
6033,1,0.625376246257225,0.29796372140791,-0.0711769393527324,0.0642466877457715,0.499282793028118,0.571693870644371,-0.22921785455853,-3.03104976590555
6041,9,-0.0353539163874939,0.323658031425971,0.56480062690357,-0.905737585829504,0.0509501629184468,-0.921503840561275,1.05336716153329,0.316536983766118
6043,1,-1.13431934215338,-1.45186249496309,-0.0168334725125721,-0.691807194201163,1.27600356847669,-0.152722392547844,-1.28367937051847,-0.685850290569604
6050,7,-0.0351210487928932,-0.30190885509958,-1.51235381561129,0.170576132776603,0.827846464781169,-0.564486434569815,0.964345444134521,-0.357509716859864
6055,1,0.619474333264228,-1.73247650014946,-0.23573302666977,-0.272430153779294,-0.646633629164805,-0.647739504041361,-1.31450442080342,-1.30824131973459
6062,4,-0.557705566926759,-0.264025010213084,1.10096689924368,0.701206216322325,-0.198849171260534,-0.564836070362783,-0.509401574311759,1.28565732769865
6067,7,-0.670878013804346,0.644771618415219,-0.865906290066277,0.227416406595603,0.802992317990091,-0.0293335526094916,-0.688567862579934,-0.230403444928714
6068,9,-0.119726957543681,0.587459833365879,0.581201676756752,0.0976350627143767,1.60449438776619,-0.241254247623741,-0.116279747911817,-0.232932015943812
6069,5,0.490056586696981,0.610129246288503,-0.628310271017988,1.1443194716989,0.669164845237914,2.6728560793386,-0.720152117593877,1.27604276898271
6079,4,-0.0986753145976829,-0.0605749456291547,0.125483414010796,0.013990889823111,-0.415369486987568,-0.820084138614121,-0.249115618288534,0.796759011554834
6084,9,-0.635300544281548,1.56230986290417,-0.00269634934553245,-0.452540273134781,0.16312588824692,-1.24005818283393,0.762968139920624,1.15209016465361
6086,7,-0.758356146725407,0.323740731371585,-0.168422443349597,-1.07091001417202,-0.0377678730087094,-0.467283349126377,0.740733880608433,-0.520241978073046
6087,7,-1.08235580940682,1.54936975599412,0.148855662836689,-0.891659950386316,0.306544168044054,1.57218926384163,0.0943196051476198,-1.24779725906037
