"cow","cluster","RC1","RC2","RC3","RC4"
2007,1,-0.586069646993549,-0.172866451584995,-0.0863738163230273,0.7268274492993
2051,1,-0.975260955483196,1.22612976838397,-0.389321643665483,0.0876286228968347
2063,2,0.794806787343923,0.365310113718132,-1.12465239644464,-0.76231529619467
3067,1,-1.35356716908438,-1.48756493924683,0.126758234595278,0.607120123595905
3117,1,0.208503134351794,-1.09062644648228,0.136638313715101,1.08790647331292
3131,2,0.0812195234373164,0.402150712082756,-0.898811179133005,1.71835568572065
3150,1,-1.11836610261365,0.471945834597793,1.59757880948817,0.682316339361829
4001,2,1.99127196835418,-0.334067105793659,-0.826439428328066,-0.502914942190692
4008,2,1.03595326110957,-0.10488596263871,-0.69254944822804,1.15559763767501
4026,1,-0.637322598396109,-0.476926436965216,0.415315224367225,-0.685633155452717
4044,2,0.240610420922352,-0.980228425457308,-1.25475840417846,0.198569369894912
4057,1,-0.765215447357224,0.560904052638952,1.66018342338264,1.12238321716186
4072,2,0.297460207178979,0.708034920186757,-0.754223986299387,0.896450803414935
4080,2,0.00737693756298229,0.94082335620559,-0.628871221951588,0.879006102392759
5005,1,-2.14472819527929,-0.102942282090749,-1.49064271505529,-1.41474805672568
5041,1,1.02507024755865,1.10083445670346,1.29737985194702,-1.24164443684145
5042,2,4.75325988597637,0.616382834926287,-0.493984549843851,0.455381854151243
5061,1,0.294485577731035,-0.0321886386554828,0.463760844834406,-0.170180621369108
5064,1,-0.337517667589801,-0.23083787562404,-0.173648250868527,-0.354364023726112
5096,2,-0.508883190314824,-0.615449063741197,-2.02505811382605,-1.28468993179847
5100,1,0.594369697950268,-0.446762160719884,-0.174938433259594,-0.662362585840954
5118,1,-0.642093602726634,0.199602093335942,0.472211134400913,0.0580671403463871
5120,1,-0.286943138454353,-0.026400981628883,0.171888663277586,-2.36226577718922
5123,1,0.544842930162145,0.0976234642851247,2.81513767045647,0.804388561774215
5124,1,-0.109201152544653,2.71925850414063,0.377414910988655,-0.50785479523675
5133,1,0.889347705732477,-0.473487214683327,0.759892813841939,0.55786970260718
5135,1,0.141418147712857,-0.692379216807788,-0.403908595108064,-0.604843348834167
5137,2,0.0635368531851285,-0.36650505445252,-1.53299300490974,0.828472113564601
5139,1,-0.967613949471704,-0.617683463828935,0.00355887066740151,0.853443220745585
5140,2,1.23709587749459,0.16630639844911,-1.2671038512406,1.37096396458013
5145,2,0.735329362073937,-0.821867352989693,-1.40773294111193,1.03452198774483
6004,1,-1.39117668900461,-1.10557871520169,-0.508225969761743,-0.380413042711731
6005,1,0.58485748474101,-0.657494866001706,0.378361825983618,-0.506255098069117
6011,1,2.56831712681874,-1.06840645592524,1.16425578541831,-0.917579166644745
6022,1,-0.314148842866419,0.924355842013144,2.08454975028963,-0.219337321018895
6025,1,-0.970942760457136,1.97939337985418,1.18924299717367,0.113488176996668
6027,1,1.22056983959805,0.0338705059189687,0.829943738185965,0.112076363678064
6028,1,0.707732748324546,0.513104175896906,1.39916586095416,-2.14435176489705
6029,1,-0.721161835004126,-0.16851795065769,-0.231054317083551,-1.11522150219827
6033,2,0.60758394235624,0.365202994581579,-1.59472617440424,-1.00502324356033
6041,1,0.0573046750363435,-1.06340270366603,1.02112640646884,-0.104640956667494
6043,1,-0.872291927747317,-0.737489379958534,-0.819870102386752,-1.00191491172626
6050,1,-0.0968806161063501,0.168719548259446,-0.409006569773672,-1.32779282098976
6055,2,0.709100060902958,-0.57431099920958,-1.11325313911623,0.505505590887671
6062,1,-0.478028581057558,0.841194369134082,1.04108886151573,1.27373866033354
6067,1,-0.658041081213375,0.77043953612673,0.0184478989748106,-0.961242764048556
6068,1,0.0533991754989935,0.600887470917001,1.18794391133018,-0.856558021648461
6069,1,0.465646976102255,0.928839184879902,-0.255394575897043,-1.59954109048295
6079,1,-0.202269104172475,-0.281045217939738,0.26493218847153,0.17351456537681
6084,1,-0.707136491539109,-0.654484216090679,1.23898904447727,-0.0383961784624064
6086,1,-0.81801008914057,-1.09738355505571,-0.192507310961788,0.0865650027250504
6087,1,-1.10126540796492,-0.681864658404673,0.232180223132968,-0.469902423261162
6090,2,0.203762815658487,0.371235823524519,-2.09799497501832,1.53678787824442
6092,1,0.22457985816212,0.309601349522767,0.630915453256814,1.03646878876946
6093,1,0.89026462611537,-0.178262928198924,1.67138108896287,-0.417850958550018
6096,1,-0.474393147033191,-0.924942497694183,1.67385123960133,0.539046090190847
6125,1,-1.53395472566422,-0.895550357390769,-0.784050534324492,-1.83484320098679
6126,2,-0.530850348213382,2.79698749521042,0.0461044303404097,1.10724590133023
6129,1,-0.911598305972232,-1.35215847556816,0.272012136637418,-0.338418123790474
6130,2,0.910845450743124,0.100606740066582,0.366191224389809,1.29919180134658
6131,1,-0.57831334100193,-0.701168488895419,0.101827066737526,0.574353183578383
6134,1,0.112155149611938,0.0497732089869836,0.688346006536608,-2.21255239597045
7010,1,-0.418696630775639,-0.272219491418023,0.569820887453275,-1.1256181825135
7018,1,0.293528812540974,-0.506897053452636,0.585236321800037,0.738928433667982
7019,1,0.882626815536974,-1.04742926922247,0.00389509770027263,-0.772442438440691
7022,1,0.121172980444104,1.1868825317757,1.69119113720408,0.115273459618135
7023,1,0.193764808624168,-0.824617012892182,0.846763676270221,0.948959660235948
7024,2,-0.792250565064646,-0.764059783323747,-1.35849871343641,0.768746344457392
7025,1,-0.556950355798334,-1.12971020657621,1.54827140011188,1.036324356829
7027,2,3.47621451707224,-0.533862671912262,0.245028195048214,0.467628122529991
7029,2,-0.207835111994835,0.480839117084515,-1.0698533634315,0.672313301677094
7030,2,2.50466256857172,-1.1254678226296,-0.619495187569639,0.402650189658285
7033,2,0.0907868824344433,2.18700572661887,-0.835568487357869,1.91843659762731
7039,2,0.928762173526825,-0.149911779911756,-1.15871786401901,1.38871300266575
7043,1,-0.493309897531179,-0.492771260338289,0.444979123750619,0.511197931572945
7045,1,-0.788154771960081,-0.379002730913719,-0.571870718436288,0.290266261052474
7048,1,-0.413635794102282,-0.44069200337427,-0.596284358743833,-0.309294971016003
7051,1,-0.159264141664259,-0.105178535698539,0.849996697406045,1.46051197443687
7060,1,0.182490838293769,-0.25136202357129,0.840933538172952,0.707410981175079
7064,1,-1.19942783119126,-0.70161374237518,-0.46267967530768,0.61356977946936
7065,1,-1.05033345738978,-0.328082530455533,1.1619883963144,-0.104800820256798
7068,1,-0.7227855828544,-0.366349297412405,1.12284085039714,1.76557576732983
7078,1,-0.248355775216987,-0.264906092871469,0.0130924468456622,0.132547058644818
7109,2,-0.031744439583536,-1.18097112715228,-0.995694158439916,0.609836758995316
7110,2,-0.651031898143058,0.0436676317389048,-0.997829307342949,-0.399740986994172
7114,1,0.174900000240606,-0.162055245749983,2.03834772453048,-0.203465476219587
7115,1,0.630712759097698,-1.20727149450703,0.777317943542314,-0.112615075984424
7116,1,-1.06398194841497,0.141722042578005,-0.583547231398864,0.0515648669003355
7119,1,-0.204584223851294,-0.208483290822782,0.00733444629268598,-1.37531841449279
7128,2,0.310472183660547,-0.489250559874363,-1.79585613832657,-1.14428786807096
7136,1,-0.728514407951829,-0.305179416723286,0.757954621390477,0.386713344094609
7138,1,1.48860954696905,0.303901981565998,1.12538013624197,-1.12306116786629
7139,1,-0.524760046656836,-0.51347643825086,-0.209552100750174,0.150771795902543
7143,1,-1.17700280957407,1.29316898577796,-0.68023514896532,-0.701368248708477
7146,2,0.0123692200508329,0.914515530157795,-0.603504913901856,0.0096601469687363
7150,2,-0.241915613108686,5.27589096092177,-0.26374642846157,-0.412918667565804
7153,1,-1.03784860672243,0.173533882024591,0.458768227667597,0.0310208368126858
7159,1,-0.0334619756679881,-0.44402266400168,0.580261325331552,-0.707771415595324
7163,1,1.50246985397162,0.0998814748103248,0.0219832828016995,-3.08884754502299
7169,2,0.864720470555222,1.96627786026481,-1.51259147194176,-1.68547044431769
8015,1,-1.09319323232504,0.735708709773785,-0.505621264449245,-1.3689106961145
8083,2,-0.0131806019256965,-0.414844740359396,-0.522041870436761,0.675884375930341
8145,2,-0.394703850488723,-0.420229232597598,-1.34630669589806,-0.285057346833477
8146,1,-0.596060566357647,-0.448862774166115,0.124329765704956,0.847396082706697
8154,2,-0.129283719376732,2.43480999887857,-0.972861654169157,1.88651190086757
9010,2,0.0395521135871038,-0.767967665651882,-1.23518438914934,-0.197600019616427
9012,2,-0.184381034526122,-0.104846071062271,-1.08465435634384,1.05257603718888
