"RC","eigenvalue","variance_pct","cumulative_pct"
"RC1",4.9245,30.78,30.78
"RC2",2.4087,15.05,45.83
"RC3",1.8794,11.75,57.58
"RC4",1.7439,10.9,68.48
"RC5",1.4543,9.09,77.57
