"PC","variance_pct","cumulative_pct"
"PC1",20.5,20.5
"PC2",16.55,37.05
"PC3",9.2,46.25
"PC4",8.42,54.67
"PC5",6.85,61.52
"PC6",6.21,67.73
"PC7",5.33,73.06
"PC8",4.34,77.4
"PC9",3.66,81.06
"PC10",3.24,84.3
"PC11",2.64,86.94
"PC12",2.25,89.19
"PC13",1.94,91.13
"PC14",1.89,93.02
"PC15",1.73,94.76
"PC16",1.17,95.93
"PC17",1.06,96.99
"PC18",0.81,97.8
"PC19",0.62,98.42
"PC20",0.55,98.97
"PC21",0.44,99.41
"PC22",0.34,99.76
"PC23",0.13,99.89
"PC24",0.07,99.95
"PC25",0.04,100
"PC26",0,100
