"cow","cluster","RC1","RC2","RC11","RC6","RC3","RC5","RC8","RC7","RC9","RC10","RC4"
2007,1,-0.81294709766462,-0.161868292876006,-0.449462621567497,-1.15923769466584,0.060024418338707,-0.553996282340219,0.309021988471058,-0.442088395298759,0.0218048513494953,1.99195649496466,0.962166030404446
2051,3,-0.850874315124812,-0.990336422655011,0.407210981687876,0.549934764458036,-0.674012968594454,1.02698072193692,0.11345135977,0.501280823522628,0.0508793146756947,-0.251155400028294,0.410424696412995
2063,6,0.855888448632709,1.44071147783211,-0.147969497756013,0.507877496135248,-1.51813115700019,0.239454948982965,0.473667967894234,-0.0378523342975924,-0.429993560610371,0.086460990692937,-0.463684690387992
3067,7,-1.30991517309016,-0.626200018486041,0.627452617011174,0.521129275985908,1.33910081854224,-1.93803571176621,-1.30231842688047,1.73317664112071,0.197725945896646,0.620695411146849,0.953854000315985
3117,8,0.0335926480255634,2.44458337943216,1.46046960682275,-1.63864355917349,0.327913933029785,-1.50750110167334,0.188798327905314,-0.316811302647845,0.435518177279723,0.573690366706563,-1.0463659531653
3131,5,0.235843008675753,-0.155378243669819,0.871466232909772,-0.441675666041082,-0.414808865828637,0.543366989150419,-1.52592193603742,-0.374319014106612,-1.01735913869313,-0.45377771407589,0.0659412309693488
3150,2,-0.871747914494824,-1.50619142222235,-1.53290659899879,-0.175849796422374,0.611845138318937,0.470365578961927,-0.836700726166001,-0.171995417830941,1.7981484135246,-0.839988065690662,-0.988949737866565
4001,6,2.40238718464291,1.45651787735598,-1.12749648094529,1.77199515330479,0.0782479006601216,-0.328513604293799,0.0903605344138936,0.0298881565780551,-0.295530194482352,-0.330637250017416,0.173879368428742
4008,6,1.26524112415398,1.32438944693567,0.00665810103217949,-0.403436376267309,0.0760548592326547,0.118124852450851,-1.13045883757457,-0.758649784453531,-0.364635210289091,0.380788477750707,-0.546436595074659
4026,6,-0.635370416933033,2.06156915134977,-2.94060006930367,-0.433364461529991,-0.451087120502514,-0.984527883225569,0.814409199965269,0.806970526778338,0.393355295713069,1.56549359485517,0.302779250622167
4044,1,0.136973043548134,-0.816390114419808,1.00861616964238,-0.421325767050268,-0.230677811843073,-0.935613312223186,-0.0148981532372624,0.443440107910912,-1.46470547349084,0.419350260885172,-1.33057916079373
4057,2,-0.608638362879199,0.324706705834987,0.167990939239298,-0.0246795234461388,0.646417008411866,0.737003551639342,-0.282060540670048,-1.30855088161851,1.24538339317767,-2.00273964178139,-0.967334108553898
4072,6,0.398576184287346,1.2618221493416,-1.05253305265197,0.282684272710788,-0.561225773377245,0.516582511467156,-0.0927945764013653,-0.468851598474884,-0.677833706543376,-0.746549144406868,0.794264307363621
4080,6,-0.067773450276187,0.262798004219283,-2.62468269106034,-1.37371475657455,-0.099898623241986,0.693923802571273,0.602410641831455,-0.214715751520353,-0.55647638365648,0.302895756973426,-0.0121508118508076
5005,7,-1.71842818468076,0.794906079405959,-0.160493707723749,2.47626503864328,-1.70993090521599,0.267330777922744,-0.395385715239856,1.31840711478349,-0.297376424604626,0.689601631072275,-0.334060160231778
5041,3,1.53388340089731,-0.0789248990060952,-0.645736171245448,2.45099466898498,-0.380570916667854,1.13047868415186,0.60123113565191,0.0477516895680587,2.26468726872533,-0.254737686341302,1.06800127638793
5042,4,4.51377379060857,0.415199964128081,0.83469433503099,0.251013033058877,1.2921306715848,1.04021648200359,0.175511175617208,1.77859959144154,-0.980332760722827,-0.669051408937892,-1.07235770152594
5061,1,0.0316174596659252,0.719459234831766,1.51667291084369,-0.178711566240538,-0.106839850581387,0.0239975777058117,0.983388783603748,-1.21432036678433,-0.105619579009202,0.406485747823104,-1.19623277353591
5064,1,-0.488799203592919,-0.291527402266755,0.839770200223102,-0.664650635544825,0.556996270469098,-0.211003874716779,0.727153753132673,-0.155882934224127,-0.660129436039142,1.21637845827131,-1.00677068919826
5096,6,-0.224017802170955,0.940261760635736,-2.35797564328328,1.17223731507293,-1.29599782993716,-0.615317615852217,0.940885320922991,-0.796348723005871,-1.4028431781481,-2.44885174292293,-0.464772099860522
