"cow","cluster","RC1","RC2"
2007,1,-0.583050129444932,-0.16047154572897
2051,2,-0.813419279659266,1.19977985867226
2063,3,0.713931120071964,0.202221726857254
3067,1,-1.28623240268524,-1.44516765161303
3117,1,0.365170309961631,-1.13302473065763
3131,1,0.110179882249472,0.223921421406719
3150,1,-1.00403775263498,0.564373360812499
4001,3,1.98107928939147,-0.365646687755092
4008,3,1.03789023053143,-0.269988430189434
4026,1,-0.757701431541854,-0.507929593741959
4044,1,0.10844973796886,-1.07897145617413
4057,2,-0.657742264886554,0.645574817126848
4072,2,0.384919022747116,0.694419615726318
4080,2,0.0580891089605476,0.910853157894513
5005,1,-1.99637405839253,-0.311878989043337
5041,2,1.05092586195115,1.13054620778581
5042,3,4.7469495656045,0.621575111559016
5061,1,0.301067899565379,0.144665608414196
5064,1,-0.446329921189392,-0.214980272183057
5096,1,-0.695377570640194,-0.700751504330034
5100,3,0.526379061173403,-0.5498130423354
5118,1,-0.732806837568252,0.11085245055289
5120,1,-0.406645178323155,0.128813252696417
5123,3,0.557037486489292,0.311247022068786
5124,2,0.0393027555279039,2.61007606070444
5133,3,1.0294812904453,-0.33543405547176
5135,1,0.0618750674469614,-0.667499104455214
5137,1,0.045615340970086,-0.492046788792281
5139,1,-0.86162650274677,-0.578315559583988
5140,3,1.2705254835351,-0.0555033394021507
5145,3,0.666086794394133,-0.921000369073918
6004,1,-1.32399618150323,-1.14737375171548
6005,3,0.512769595995877,-0.560294055515311
6011,3,2.68598048409678,-0.997296841903461
6022,2,-0.406349080807175,1.24324077007983
6025,2,-1.06849934133571,2.2604075782056
6027,3,1.2839351470824,0.0528763270640575
6028,2,0.559489777609676,0.817938766761143
6029,1,-1.02176396473718,-0.120692845576269
6033,3,0.567803657534698,0.175900113807741
6041,1,0.15468526081341,-1.03892162577315
6043,1,-0.83995864564745,-0.606609299308016
6050,1,-0.177043736191983,0.231578153069001
6055,3,0.758283582142778,-0.764601462438867
6062,2,-0.413510593626996,0.887665956187994
6067,2,-0.806104038373722,0.824881594715631
6068,2,0.121049582316017,0.667192644028587
6069,2,0.198562649327594,1.06983746917498
6079,1,-0.231547540594679,-0.191654605897139
6084,1,-0.626770405796919,-0.427079623477388
6086,1,-0.727688695511333,-1.15032344121888
6087,1,-0.999791995184959,-0.706587082782327
6090,1,0.207154957742469,0.147269186943638
6092,3,0.395837165289351,0.260439416845423
6093,3,0.861297749782785,-0.120292531233798
6096,1,-0.501867034881663,-0.834511584628304
6125,1,-1.58267777603973,-0.927704983333918
6126,2,-0.414557680043167,2.78260588441172
6129,1,-0.949733877569642,-1.28825790477403
6130,3,1.05375202836853,-0.101156379924306
6131,1,-0.615034625002988,-0.676944305582224
6134,1,-0.0775575234813809,0.406016606497346
7010,1,-0.42291492587839,-0.0237483671581392
7018,3,0.488957980282455,-0.501897472282421
7019,3,0.676738127864261,-0.925940703746496
7022,2,0.22274065463014,1.34751683520668
7023,1,0.377297520638202,-0.86620878524284
7024,1,-0.805734225172737,-0.835094555895113
7025,1,-0.387582381590503,-1.15623059951667
7027,3,3.49596120189636,-0.568278211115002
7029,1,-0.202825575665234,0.451846621581233
7030,3,2.42547032901122,-1.1247902763666
7033,2,0.215305499829683,2.04275914905271
7039,3,1.05550193614855,-0.298165873025022
7043,1,-0.410478230502864,-0.445904374759528
7045,1,-0.882197996960712,-0.365770944664341
7048,1,-0.584014002084684,-0.422507298252517
7051,1,0.0195554349586655,-0.0439083304530293
7060,1,0.287631040376318,-0.479359742882014
7064,1,-1.22797062394838,-0.775822482579608
7065,1,-0.847562949890996,-0.308861910150413
7068,1,-0.539191179322187,-0.423572820285053
7078,1,-0.336551246260543,-0.207984216779559
7109,1,-0.15013170236801,-1.29843508734839
7110,1,-0.792522415030834,0.10120520978437
7114,1,0.197154157103791,-0.155533900076672
7115,3,0.758223698986065,-1.18364634435671
7116,1,-1.02444512977421,0.0623890708785024
7119,1,-0.282634159145365,-0.124164087808521
7128,1,-0.0123981178787425,-0.507979326168122
7136,1,-0.718290630770509,-0.27256555671966
7138,3,1.44088235290359,0.409627434949071
7139,1,-0.639846670015406,-0.538781299767327
7143,2,-1.23231379266139,1.30544531911135
7146,2,0.0759403645172442,0.883888466814296
7150,2,-0.26280067581222,5.18342230359171
7153,1,-1.07059255561915,0.224072943331902
7159,1,-0.0244317993052732,-0.484504469240995
7163,3,1.31651335980439,0.330220041091693
7169,2,0.809844618084061,1.8136633573655
8015,2,-1.11697960090887,0.800200084415305
8083,1,-0.0552832377572182,-0.517687665846341
8145,1,-0.44357966911174,-0.381175248852708
8146,1,-0.658744161973955,-0.518569008899797
8154,2,0.0560956455378911,2.10036973195574
9010,1,0.0468487772912348,-0.860141811244325
9012,1,-0.224405925499005,-0.317440492102545
