"cow","cluster","RC1","RC3","RC2","RC4","RC5"
2007,2,-0.760503115416589,-0.744557726036022,-0.257180993389847,-0.0727630507804647,-0.861196243143192
2051,2,-0.885744869479358,-0.0589715219604797,0.476161449145786,1.03979075742814,0.204490874054813
2063,1,0.763005115186806,0.597984241801552,0.663911723438931,0.0394590274026498,0.231178552261951
3067,1,-1.16004477666051,0.556427260723773,-0.985817163308167,-1.40690841993291,0.589121153089132
3117,2,0.536284378446462,-0.0111108149912637,-0.900469247427899,-0.350532464139508,-0.753111271932235
3131,1,0.0459350154121466,-0.262171452537209,-1.41161820891147,0.157483074895387,-0.235274340961808
3150,2,-1.15964877186314,-0.468650488706008,-0.771031102204009,0.578165199147891,-0.368455803545981
4001,1,2.29623945887749,1.70844121077265,0.817755850875349,-0.343390439574141,0.213020334659924
4008,1,1.15308685752175,0.385775319255359,-1.18654916448582,0.0524525599051645,-0.533677326022507
4026,2,-0.784184521153352,0.0952824480265885,0.514034579411831,-0.749655141733606,0.728037892170114
4044,2,-0.00989984970543199,-1.06806477443543,0.0293204061905709,-1.09531979234596,0.29406527131908
4057,2,-0.63553436320146,0.230130817776767,-0.304895576170606,0.941389759983221,-1.34538991430194
4072,1,0.389633944923998,0.516651747610897,0.0214631037091582,0.574024894041147,-0.225124277895648
4080,2,-0.171771050778538,-1.21019275516824,0.0633083485903084,1.15102254772601,-0.284640210851602
5005,1,-1.67118506621105,2.14125997200756,0.771819387190029,-0.660881455356855,1.9879192820142
5041,1,1.21344422781542,1.81447556766153,1.53137198888082,0.587063401496548,0.454330169461392
5042,1,4.81222546521606,0.764063554046415,0.105633895685218,0.886416770188481,2.03180593054724
5061,2,0.293778278958925,0.382781194833612,0.619837364492938,0.0919818664144655,-0.991516165484048
5064,2,-0.479782257538363,-0.843044291263714,0.420090794431028,-0.0377633599661205,-0.438982044506548
5096,2,-0.656963789434932,-0.0426549601809969,1.59368565056636,-0.788746459830274,-0.328620717105522
5100,2,0.299704463532948,-1.89177672740061,0.866858022212276,-0.541238787244847,-0.193939086074986
5118,1,-0.724824385942896,0.257691849449923,-0.573971988640125,0.203859138983366,0.848648690872822
5120,2,-0.201429974203869,1.08441768690135,2.40965410689912,-0.100983254469092,-0.245190670875039
5123,1,0.943126507560357,2.07348512088307,-0.774289532557592,0.957486461441706,-0.801361147398888
5124,2,0.0446735949816338,0.470038561894152,0.612379945549351,2.48628233218351,-0.703680047259157
5133,2,1.02220664962628,-0.497468717318198,-0.276985285143619,0.314136728811791,-0.369254590694279
5135,2,0.084817500511433,-0.0190045517975458,0.804850316639674,-0.82539017976662,-0.377770256937887
5137,2,-0.0605743553022456,-0.501300404289844,-0.201444285649097,-0.73415488623025,-1.18204911627221
5139,1,-0.808606431837932,0.681457913112764,-0.600187614800166,-0.46040354261483,0.657455852358844
5140,2,1.04614016931988,-1.3635704084121,-0.961215777428223,0.00689257105511228,-0.645736887870624
5145,1,0.639210587016876,-0.130300497502163,-0.943733474041356,-1.03106396586365,0.293137932770431
6004,1,-1.16194714301325,1.91093082170798,0.290420775050426,-1.40294017169739,-0.597290020200377
6005,2,0.304279245656314,-1.07865772670534,0.997516967064547,-0.924020096789932,-0.790157795670782
6011,1,2.70976951519324,-0.161073135763914,0.561049767540725,-1.22390618567183,1.36718785036948
6022,2,-0.537639580777782,-0.643503901586591,0.941496402415875,1.32365449751459,-0.167407495376494
6025,2,-1.23371558196726,-0.582844605489193,0.0404784131323746,2.18866580611873,0.879667159930093
6027,2,1.28313613381153,-0.041506786931663,0.384170518277621,0.0142998258115983,-0.666706338359647
6028,2,0.747028462206039,1.39749345287196,2.10607938616869,0.573863752998386,-1.36369382650408
6029,1,-0.966040200637885,1.71934020807976,1.37297241450724,-0.938316732106732,0.189207900829706
6033,1,0.511365083758397,-0.100563798122481,0.513346724590191,-0.0680691254975659,1.10498290892012
6041,2,0.280073915557723,0.349044198906096,-0.407270958033843,-0.806224850402727,-1.03787368427073
6043,2,-0.963338266932847,-1.30599705333201,1.04118118866053,-0.260744168153039,-0.246828302527317
6050,2,-0.161793259987176,-0.0520231658011724,1.61158506640227,0.0559089733216384,-0.645075054966373
6055,2,0.538876740541922,-1.53109873136269,-0.244212127035136,-1.03503978049312,0.111397057313735
6062,2,-0.517453359081973,-0.492422293445667,-0.877464000865138,0.984959396601606,-0.855907581865263
6067,2,-0.921550735356323,0.349316474827197,1.19281685521919,0.262424866481909,-0.0365040880864086
6068,2,0.130163031664883,-0.0146656024379232,0.807108796635746,0.569291769431393,-0.477080364863233
6069,1,0.374034615717778,0.755837545865064,0.922355709941696,1.19354138297142,2.56232976510569
6079,2,-0.126548874860815,-2.02178993428579e-05,-0.398104261633404,-0.0291324280289593,-0.862830189341663
6084,1,-0.36919398479406,1.80042444113375,0.0239409803360636,-0.191935797187566,-1.47984807972831
6086,2,-0.639709132844914,0.361216667751637,0.0433574823330799,-1.00224673030501,-0.590256990120434
6087,1,-0.79407889655651,1.33852398430223,0.0760489432838708,-0.809061332086481,1.81268127052394
6090,1,0.125434323788403,-0.257465532378209,-1.77508789824121,-0.35026026087914,1.06308915554761
6092,1,0.736694732259355,1.74879845628442,-1.64534176134221,0.386082823387368,-0.58269938984648
6093,2,0.767683659687848,-0.964578622854967,0.437512326421674,0.0896669878434312,-0.168424125594052
6096,1,-0.384606608720761,0.458464560926515,-1.21697258433668,-0.50531188957746,0.831783274566341
6125,2,-1.56205086754345,0.321264183590983,1.64868582839246,-1.37741185271734,1.18410214103854
6126,1,-0.34817281619233,1.17888174888199,-0.796479685978819,3.09230753017598,-1.16217287437003
6129,2,-0.955409363519754,0.448450443680588,0.150083044041196,-1.50386465301972,0.0724119086619729
6130,2,0.84944971013111,-1.4383912549237,-1.33444298391185,-0.161453371069397,0.650437653353653
6131,2,-0.658798085113519,-0.229397781492566,-0.245284319780041,-0.670339189922874,-0.877114513448588
6134,2,-0.217710823105795,-0.443362031398073,1.81852012691152,-0.0711222145143335,-0.613435915124028
