"cow","slp_feed_intake","slp_feed_duration","slp_feed_visits","slp_water_intake","slp_water_duration","slp_water_visits","slp_total_meals","slp_median_meal_duration","slp_median_visit_per_meal","slp_median_intake_per_meal","slp_median_feeding_pct_per_meal","slp_number_of_non_nutritive_visits","slp_median_pct_feed_remaining","slp_median_non_nutritive_per_meal","slp_total_actor","slp_total_reactor"
"2007",7.74251048122194,1812.2747529336,0.190546239435174,13.3273145156965,0.199125992276409,0.209607264009503,0.210668722396205,0.265643777245807,0.293883735042682,0.236570668818138,6.21434064154667,0.382634213821726,12.5352649997278,0.35635137421323,0.389067882054193,0.348919131826494
"2051",6.30649435930544,1389.28874334691,0.200771561217607,13.6033312880283,0.203317075155001,0.266845869735118,0.195785687273293,0.248234351649719,0.293667728122843,0.238184603208303,4.84663506974155,0.386443157547437,13.919541025737,0.378458978317785,0.374652439471364,0.436447827378224
"2063",5.69212223883719,1643.75134724971,0.212992008516713,11.0736946581293,0.211300388710398,0.254398947215434,0.212789640469852,0.300483307287679,0.318755722678074,0.322656473503682,7.60566163937178,0.393235325814896,12.6863663591445,0.368185247334226,0.382236121312218,0.420496273520218
"3067",6.76367427384436,1592.58105752885,0.214798436360639,19.6292884951111,0.249959570193332,0.246398308597282,0.202188526543909,0.260440437978779,0.298081536862154,0.220911371164171,5.50986820805582,0.429918819704183,16.6097146779937,0.396042086665653,0.505918910464949,0.373959310144477
"3117",5.94450766106472,2065.41913746113,0.158779263278987,14.8158063396997,0.192095293235219,0.232259064565037,0.214913223483118,0.33528849858294,0.335313284504613,0.375565278509775,5.08791589620915,0.27372931421095,11.5009362750715,0.382722119141433,0.397065183112986,0.356118770053271
"3131",5.76343642926596,1381.1708475188,0.187916348759407,11.6236189343743,0.198322549098501,0.226215413883573,0.186813295727117,0.271159398840563,0.292416222551577,0.313768629326561,4.13535915092935,0.335888961862798,12.0890565772312,0.364818308079168,0.554128375793301,0.399122027281827
"3150",5.2853731210452,1525.87360442431,0.176385962595173,11.9970204673014,0.20845549053491,0.224643463110929,0.164556649894532,0.216142984166388,0.305250253227429,0.191971246007738,4.97475389011618,0.389711798919022,9.88288679793346,0.363667303870795,0.498068430807096,0.374429535652883
"4001",6.59929295937194,1603.11234212295,0.224383890461478,13.1953141977272,0.196855213357176,0.285982089710059,0.189942124578445,0.293172373155595,0.334430465884852,0.339030439998706,6.55857897829417,0.361460131494359,11.7107537872164,0.397171438687668,0.370510969277271,0.454011709046782
"4008",7.88834354560799,1524.32527490922,0.164368308988892,11.6635334853556,0.193520305411932,0.230445677906694,0.211732393471762,0.311580312063441,0.311126704444506,0.304262311163554,4.84289952050556,0.318632371804119,10.5989663263597,0.398108287147339,0.481897277473096,0.364783585139202
"4026",5.93557665782217,1982.2168458354,0.221003693804205,11.9313015005346,0.241908383563427,0.259227987907007,0.199617859886947,0.281827145836756,0.294640329841797,0.394578295854269,12.054014129985,0.431217045415876,11.7914066062908,0.371593276289066,0.39262967839703,0.409559994671151
