"cow","int_feed_intake","int_feed_duration","int_feed_visits","int_water_intake","int_water_duration","int_water_visits","int_total_meals","int_median_meal_duration","int_median_visit_per_meal","int_median_intake_per_meal","int_median_feeding_pct_per_meal","int_number_of_non_nutritive_visits","int_median_pct_feed_remaining","int_median_non_nutritive_per_meal","int_total_actor","int_total_reactor","int_median_water_rate"
"2007",69.2145516960405,20579.8930632255,76.8364041641714,59.9741659669333,480.485592813972,9.63996366972739,6.92655772065102,3318.61521289318,9.80363032251305,8.08608135266127,83.5912089723476,27.034801936308,30.0361140265432,2.91916449525704,25.8814644571459,46.2335765764417,0.16553187536301
"2051",59.9938782086372,21279.1694760288,71.0239196395949,46.4129798979614,1098.72867416919,11.5381383455377,6.214141567419,3871.5312765143,9.55495323437521,7.75722717232563,89.8654520029482,27.8757983558538,32.4841816384197,3.5143162429258,21.5638450477668,36.3587727266823,0.0297420248078417
"2063",58.2363622172497,20595.6160673322,117.918383714094,40.0428324947831,928.740882762127,8.53445479535114,5.6981055390813,4764.36684005586,16.0314536246433,7.78306290255428,73.5696187221942,65.8926631025892,40.2780521416352,8.34399681641135,28.522970909965,31.8907304856874,0.0434921456903035
"3067",70.2891973944144,20766.1434647445,58.0887758489415,64.4233556551402,322.851107429065,5.57986781146032,5.95504985563363,3729.2894195433,8.00650833079187,9.61180728390813,92.0091591931166,14.3422023692105,30.0853191650291,1.74327729377485,11.4991859726217,34.499307135634,0.246293652292721
"3117",68.7299148315899,21036.2150931945,94.7557927093771,58.0516737745329,413.90349804846,6.78471877951064,4.5297726096788,5114.54074542775,16.8221643725381,11.538065167152,85.6934325142589,42.6747711172347,45.6010329031844,7.22298921186051,16.8292567327628,46.9337985781423,0.183099872752257
"3131",62.9196129120211,19841.3010250827,99.5345440608081,55.6723534932594,806.671332385262,10.3970510987117,5.50736487365965,4436.84082504663,14.6973306481124,8.78463242838019,76.6870037894457,42.9514849619824,37.276955439102,6.04553321921672,10.5444132732045,49.5488728570822,0.0630046704570202
"3150",64.9225795609723,23970.6916602563,68.6299414849941,72.634317827674,709.577570436487,11.1717976826549,8.42764435616971,3231.51135805065,5.98532407592937,5.85665196626622,92.4992954004864,25.3331955582353,39.8604445059625,2.25548874942635,23.276545772883,44.9111766087067,0.10553368028321
"4001",64.8800682914795,19419.9451050015,156.895421833412,52.1255365804911,595.05057879897,9.2551504275804,6.39472997119057,3691.21571873107,19.1432737826156,7.54814088932001,72.2486314186372,107.113260197175,30.5369863875103,12.0516484108251,31.2558887110282,33.9515602154426,0.0641390831699022
"4008",64.0413426449925,20137.897820175,128.893274704371,56.3106628372619,709.696048680954,8.99064562561046,5.93327395494353,4322.0660928315,17.1164622464537,8.18218167433816,73.274333294898,72.110364207417,33.0961745208201,9.20580095461239,15.4911998000047,46.644641933828,0.0996971195083916
"4026",62.3587779785707,22834.2859589112,78.9678805017964,60.7049509154918,702.063677285501,6.35885017559388,7.52841484096809,3469.21813618085,8.30265748105282,5.88598660495508,83.1385153320469,36.1250171974212,33.3035591255788,3.43489458287168,23.0946332854788,28.898220193927,0.0959411568218307
"4044",62.5428522409427,18857.7970566925,95.632623316468,57.3363274544167,395.034381886598,7.71253877768522,5.51533283946051,4421.51665843478,15.2611909742661,9.39168424899912,74.7518003099543,46.2463114091112,43.1949803617368,6.64479152456922,16.0857188947531,29.8895788977591,0.182727297834282
"4057",62.0499743807933,23819.2657939138,75.1718455034255,84.622901573527,754.865727730574,12.7095883003321,6.20101578560603,4561.21507856855,10.0811649768372,7.78518371426486,90.1561692385433,32.958054732874,34.1007660882548,4.0871420380837,12.5628137495179,39.9253608469368,0.103363659491902
"4072",64.373966890421,19272.0107665551,105.926648801719,49.8607313620063,711.648537574946,11.875925480905,6.88913196774342,3366.22165297113,12.7846012362352,7.57663749365577,79.7655555367024,52.6527080976718,36.3855753372358,5.87338669023957,31.4354316171751,53.1654381728853,0.0500974561969185
"4080",64.2831967595937,19800.7267715655,104.744573494026,53.6624750881617,755.163876673165,12.7748384088538,8.68849492572881,2630.86921391981,9.41115940015156,5.64945840258623,79.8128739626664,57.2001021089175,34.7826554006129,4.80177943626253,27.3393543080213,48.8636968357173,0.0701437173914223
"5005",59.3038055900449,21603.769022498,38.7669043559102,21.3069296301782,795.775158862653,7.70989682478444,5.28961352252904,3520.8882089719,5.04308014887203,6.91891056037768,96.092519165603,11.3499400473027,42.2079590366083,1.62486564128369,10.1708487439664,6.38634073306582,0.0403004988885063
"5041",65.8101414249908,24661.5303763066,139.167166176492,58.0653951634212,1201.47830033518,9.90923064821923,7.29054863154758,4532.51530650942,15.4588242851506,7.1645020762964,81.2381562506638,79.3569055131378,26.3476120695954,7.99440155884234,38.3304123926823,35.7511723958589,0.0428741374950472
"5042",72.4987572808866,18627.7940809097,205.625204217444,61.5713446132814,824.955881429966,11.874511051861,5.6347473002701,5520.29596948632,30.5357123126939,10.4325623587666,57.2075543561041,161.710309642783,41.0878551108473,22.3178127272735,48.7270564422211,62.6723387860473,0.051613014080609
"5061",64.7181365847997,20683.3914655339,91.8038055796991,70.2071936232008,651.197015455826,9.91260957930731,4.93308593918426,5252.22048790007,16.6404644292081,10.3554596986287,83.2176602632626,37.3182044982161,43.4326307681858,6.46287860035935,34.412373663844,40.267221425594,0.109406823770619
"5064",66.0054517706864,20891.6331230264,82.0500475777949,66.0209543926881,727.100055117207,8.48652692059791,5.59968795662429,4629.0320249355,12.8570755184578,9.33018184026836,80.9385790423819,33.4844507163267,38.0646906297428,4.80377169488483,19.4612700556638,26.7120118491459,0.0959667271941786
"5096",55.6607300653357,18239.1505638402,84.6841898417753,38.3331476280447,590.141793345398,6.41577315423404,8.53830178065058,2598.1861835473,8.07945197080521,4.93083915848595,77.311731592273,40.4692266403186,37.2056319885193,3.65986510372979,26.7999551430531,20.2097607483256,0.0847623364218211
"5100",61.3155207074525,21978.0665462016,126.371099255133,52.5832300922604,425.170413470522,9.50353432996237,7.80080055447519,3504.19132413558,12.243375928679,5.69409209094626,77.5661506805616,74.3094017550833,27.4567378402507,6.7874966548981,25.8493850760613,26.5631486343421,0.152163188197558
"5118",63.0046860021039,23169.1715312756,75.3679063134271,65.0278191846927,1063.74627039958,7.03330578290165,4.94744256124428,5865.5682220858,12.2566703105251,9.78364121398401,82.0252982409996,25.2424165093946,38.7586098556433,3.8071377136759,13.5801903055518,33.6798171332705,0.0405153941348513
"5120",69.6036578168966,21793.6896430287,89.568259409406,58.9728964214851,743.939042800272,8.99973101647869,5.7654455088363,4406.16661950059,12.4896575454433,9.54638541966173,84.9441046751473,33.5004980180871,30.6830193770156,4.24191822873492,37.8040037542673,12.5287563190689,0.0884336758929161
"5123",77.2179939246919,24853.9752032403,99.9226911585663,94.156523221737,539.142624317149,11.3136514784719,4.86417404614342,6077.561442332,16.3520371152577,12.6353882165479,84.0709134872196,41.7195457970377,38.6165556129055,6.27656658740892,35.6889780812388,55.7146558437236,0.18147570339364
"5124",62.0831635239154,24370.092423851,97.5253442249679,40.8504171729911,1215.27383052717,17.1725146731092,6.11480507264858,4676.02177454548,11.8873608499698,7.30387761489604,84.8462884751808,48.918346613425,33.7851834159809,5.59346395051647,35.8945671692843,37.3712225924934,0.039405811133651
"5133",66.9792212959118,21019.9767239358,107.805098251078,58.6882249231332,503.328841884539,7.49702395034835,5.16711216980028,4727.46188995285,16.8446155715703,9.88597773197909,83.898951241576,53.3067740351194,34.5630929166896,7.88167854243918,44.1026969439293,63.0582335851028,0.129005050048026
"5135",74.1920037464546,20304.9662018796,100.480286778379,58.8411626331667,433.128353481934,8.58335643363739,5.43081553498369,4328.32055179318,15.0912649153699,10.4101088639404,80.1414636940545,38.6603047873723,43.0069042579893,5.57221874554759,26.9466952922013,27.2676824639696,0.150168050526628
"5137",63.9103509765075,18404.2127223923,90.1586658541138,46.9604675056804,387.274825361947,9.98135340671683,5.04828958773049,4432.26859604622,15.208840765181,10.4362129169749,76.7304767537142,35.0788574059551,34.9876174758754,5.62218762825059,21.1808366684895,41.8046511729573,0.151529498320684
"5139",65.8432747645781,20506.7874811152,66.3255381074079,55.1703785325915,405.170030762364,7.79633398662003,6.42283703772466,3190.50931735939,7.67818138532744,7.47892703600699,89.4325121013572,20.8288929447666,35.9882672643591,2.26699263849057,25.7052451267621,49.7068678215987,0.154498925477801
"5140",63.9030895448977,19311.9310389042,133.724367599458,41.4611694915242,600.784273200474,9.96525763522181,6.9787569054649,3736.26206678583,16.1657439623607,7.09018044189249,70.9833819236819,76.96217518226,41.0897812929927,8.98572492276394,25.5433362649538,57.5194689336746,0.0933117924696487
"5145",65.7803673394002,17871.2851719481,125.263369590167,56.7831551020138,387.685290910381,8.28359451495192,7.08907525081381,3081.34416587724,14.6525166937813,7.43615965433577,72.6460271608053,65.1203480875073,32.9232072778981,7.13148977693051,17.011183059788,42.7733975607951,0.153886561335848
"6004",62.6003040228117,20962.0144089288,55.5924221980988,45.6261022341305,422.311627588282,5.95990669371421,5.24713395695087,4177.5151102849,8.11639496964063,9.15867099336536,91.7046502346782,13.7776250646317,26.6973053008715,1.9466726871974,17.5664536103748,26.2040945057534,0.143830084902549
"6005",67.8585750994746,21117.6035019582,118.178648157223,68.6874467476013,580.343069599531,7.51157516211796,6.81219175885291,4060.43501074526,14.8370019628627,8.32035590689315,79.9153906304704,57.4975879450847,44.0072475645579,6.68666553676088,29.2562549448826,33.4686820264694,0.127812653752829
"6011",67.3103026646779,22904.5404387163,186.62546684352,61.7445870008805,465.619793511663,7.00175411998397,7.27814671451414,4052.03172549776,20.2585132997227,6.73938370574896,79.2218831839459,131.331818098708,35.9683118011254,13.1972132788453,36.324818278469,35.8088704745333,0.142042084901548
"6022",77.4999847256854,23210.9262477824,100.164996450997,95.8842828672595,921.580099301719,12.3144726042116,9.14391889377319,3095.90601414558,8.34503332997938,7.00867633154328,85.4075114547721,37.9304334603225,25.6989239916163,3.02515319489193,34.3064821032035,39.3216850261666,0.0663431750605643
"6025",70.8250007286079,21678.4633565972,74.2168309292953,97.2871178162478,1677.97402032477,11.7493849093812,7.38530859014561,3533.66523716238,7.88961288843925,7.62775609244469,85.5066302779272,27.4292168977287,43.3015970007002,2.95541070420526,17.6298546451014,34.5925019949115,0.0190695822542339
"6027",69.1517629329551,22608.0394192135,136.838417888492,63.7534066281138,529.698150847031,11.1822273709191,6.18433531961282,4519.42769640186,17.3448285412155,8.70294274604004,79.5439232088106,76.2770202304031,29.0591987544292,8.76937174992295,32.4749725525972,43.0685630051069,0.123411443963112
"6028",70.6259107566798,22739.1639801847,114.374680690434,72.4616329871435,938.70357026535,9.07975664922495,6.34845015700596,4408.04076936155,14.6265478775425,8.45829161300832,81.0169059297855,50.5330661679756,26.1436349767444,6.11225052562261,55.3435680777676,33.0735538964762,0.06644634216568
"6029",72.6413712374057,20912.4975621837,74.2338636718515,71.3566997513991,790.56033448844,7.93295023361204,6.14730615884784,4239.81925481295,9.83409210029989,9.53309226095998,77.64650661662,21.2913199767911,39.1882373322743,2.70864388712761,22.373871305032,18.2103812678623,0.0962759036174623
"6033",58.5482298509617,20142.1890120447,104.708400403335,29.6628902299619,666.342926720817,10.5863061790582,5.49787983082914,4610.22586155205,15.5344455451513,7.91212931024836,75.0887227379462,58.6297590916398,45.6498387685845,8.40456762020768,33.3147427792153,28.268608744042,0.0669564709322594
"6041",66.4198480937175,23196.378431411,102.791617331482,63.5969010198729,347.919655282788,7.61224418865649,6.17928101690041,4343.83241374348,13.5739911884742,8.552687254943,88.2641721778187,49.6863210444435,28.4083821667348,6.01725280084467,22.3441378836777,33.295361834612,0.208393145517106
"6043",59.8740538860027,18975.387943264,60.5482790988469,43.2982555165503,495.382462891124,6.22555215115784,5.80954017315388,3451.30527511582,8.31079415517911,7.68162203475863,89.2187565004012,22.2436320608697,42.5039234819754,2.96543057992651,38.7940531649185,34.5816407072686,0.10806437020077
"6050",59.1925834499652,20658.4773990231,88.0043026805839,50.4530964133508,831.869464381075,8.2764978614617,5.47615781407495,4411.40153264256,12.8836333655037,8.5445088731566,81.6282476949875,36.4869252426407,30.6497885309183,4.87825256449526,37.4366475943242,29.5339864981033,0.0643258986787116
"6055",60.5909356564255,19959.4351558281,131.167701395139,43.8070942312981,367.973253155885,9.53149865154741,7.64083900568767,3286.76786838443,14.046635654243,6.09560695409541,77.0999178155133,76.8510767816805,28.4334555367644,7.42689405802478,17.4942597502798,35.9075896017461,0.14979838891665
"6062",71.1648287792273,22620.6657772223,91.8436407889191,78.1713298713725,864.525980219963,12.4912439052591,7.46773086318942,3637.2284216772,9.93870725377262,7.8237100886246,85.4598904112068,38.3916336456881,34.9651660099603,3.95611133939153,15.8809105197716,46.0745681289863,0.0788259789292085
"6067",70.6030286833862,21662.8761492231,82.9368953897231,62.5370410128791,906.513517893902,10.8762768931737,7.54036478546847,3392.37483345953,7.93509757034678,7.27875921172055,81.366366450915,31.0546338509497,28.4769767455897,2.9412018821612,30.1611138252093,26.4536104841205,0.0718735827195041
"6068",66.5815347317351,24028.9760145733,102.232687204511,61.5304998286329,997.267633683926,9.64091836921676,6.11004244591658,4649.71066855417,13.5177116669776,9.08577395924548,87.2729898934705,47.9096406525518,29.6298952624881,6.05786443371167,30.9932492923454,32.7310325713954,0.0585851259491015
