"cow","int_feed_intake","int_feed_duration","int_feed_visits","int_water_intake","int_water_duration","int_water_visits","int_total_meals","int_median_meal_duration","int_median_visit_per_meal","int_median_intake_per_meal","int_median_feeding_pct_per_meal","int_number_of_non_nutritive_visits","int_median_pct_feed_remaining","int_median_non_nutritive_per_meal","int_total_actor","int_total_reactor","slp_feed_intake","slp_feed_duration","slp_feed_visits","slp_water_intake","slp_water_duration","slp_water_visits","slp_total_meals","slp_median_meal_duration","slp_median_visit_per_meal","slp_median_intake_per_meal","slp_median_feeding_pct_per_meal","slp_number_of_non_nutritive_visits","slp_median_pct_feed_remaining","slp_median_non_nutritive_per_meal","slp_total_actor","slp_total_reactor"
"2007",69.2145516960405,20579.8930632255,76.8364041641714,59.9741659669333,480.485592813972,9.63996366972739,6.92655772065102,3318.61521289318,9.80363032251305,8.08608135266127,83.5912089723476,27.034801936308,30.0361140265432,2.91916449525704,25.8814644571459,46.2335765764417,7.74251048122194,1812.2747529336,0.190546239435174,13.3273145156965,0.199125992276409,0.209607264009503,0.210668722396205,0.265643777245807,0.293883735042682,0.236570668818138,6.21434064154667,0.382634213821726,12.5352649997278,0.35635137421323,0.389067882054193,0.348919131826494
"2051",59.9938782086372,21279.1694760288,71.0239196395949,46.4129798979614,1098.72867416919,11.5381383455377,6.214141567419,3871.5312765143,9.55495323437521,7.75722717232563,89.8654520029482,27.8757983558538,32.4841816384197,3.5143162429258,21.5638450477668,36.3587727266823,6.30649435930544,1389.28874334691,0.200771561217607,13.6033312880283,0.203317075155001,0.266845869735118,0.195785687273293,0.248234351649719,0.293667728122843,0.238184603208303,4.84663506974155,0.386443157547437,13.919541025737,0.378458978317785,0.374652439471364,0.436447827378224
"2063",58.2363622172497,20595.6160673322,117.918383714094,40.0428324947831,928.740882762127,8.53445479535114,5.6981055390813,4764.36684005586,16.0314536246433,7.78306290255428,73.5696187221942,65.8926631025892,40.2780521416352,8.34399681641135,28.522970909965,31.8907304856874,5.69212223883719,1643.75134724971,0.212992008516713,11.0736946581293,0.211300388710398,0.254398947215434,0.212789640469852,0.300483307287679,0.318755722678074,0.322656473503682,7.60566163937178,0.393235325814896,12.6863663591445,0.368185247334226,0.382236121312218,0.420496273520218
"3067",70.2891973944144,20766.1434647445,58.0887758489415,64.4233556551402,322.851107429065,5.57986781146032,5.95504985563363,3729.2894195433,8.00650833079187,9.61180728390813,92.0091591931166,14.3422023692105,30.0853191650291,1.74327729377485,11.4991859726217,34.499307135634,6.76367427384436,1592.58105752885,0.214798436360639,19.6292884951111,0.249959570193332,0.246398308597282,0.202188526543909,0.260440437978779,0.298081536862154,0.220911371164171,5.50986820805582,0.429918819704183,16.6097146779937,0.396042086665653,0.505918910464949,0.373959310144477
"3117",68.7299148315899,21036.2150931945,94.7557927093771,58.0516737745329,413.90349804846,6.78471877951064,4.5297726096788,5114.54074542775,16.8221643725381,11.538065167152,85.6934325142589,42.6747711172347,45.6010329031844,7.22298921186051,16.8292567327628,46.9337985781423,5.94450766106472,2065.41913746113,0.158779263278987,14.8158063396997,0.192095293235219,0.232259064565037,0.214913223483118,0.33528849858294,0.335313284504613,0.375565278509775,5.08791589620915,0.27372931421095,11.5009362750715,0.382722119141433,0.397065183112986,0.356118770053271
"3131",62.9196129120211,19841.3010250827,99.5345440608081,55.6723534932594,806.671332385262,10.3970510987117,5.50736487365965,4436.84082504663,14.6973306481124,8.78463242838019,76.6870037894457,42.9514849619824,37.276955439102,6.04553321921672,10.5444132732045,49.5488728570822,5.76343642926596,1381.1708475188,0.187916348759407,11.6236189343743,0.198322549098501,0.226215413883573,0.186813295727117,0.271159398840563,0.292416222551577,0.313768629326561,4.13535915092935,0.335888961862798,12.0890565772312,0.364818308079168,0.554128375793301,0.399122027281827
"3150",64.9225795609723,23970.6916602563,68.6299414849941,72.634317827674,709.577570436487,11.1717976826549,8.42764435616971,3231.51135805065,5.98532407592937,5.85665196626622,92.4992954004864,25.3331955582353,39.8604445059625,2.25548874942635,23.276545772883,44.9111766087067,5.2853731210452,1525.87360442431,0.176385962595173,11.9970204673014,0.20845549053491,0.224643463110929,0.164556649894532,0.216142984166388,0.305250253227429,0.191971246007738,4.97475389011618,0.389711798919022,9.88288679793346,0.363667303870795,0.498068430807096,0.374429535652883
"4001",64.8800682914795,19419.9451050015,156.895421833412,52.1255365804911,595.05057879897,9.2551504275804,6.39472997119057,3691.21571873107,19.1432737826156,7.54814088932001,72.2486314186372,107.113260197175,30.5369863875103,12.0516484108251,31.2558887110282,33.9515602154426,6.59929295937194,1603.11234212295,0.224383890461478,13.1953141977272,0.196855213357176,0.285982089710059,0.189942124578445,0.293172373155595,0.334430465884852,0.339030439998706,6.55857897829417,0.361460131494359,11.7107537872164,0.397171438687668,0.370510969277271,0.454011709046782
"4008",64.0413426449925,20137.897820175,128.893274704371,56.3106628372619,709.696048680954,8.99064562561046,5.93327395494353,4322.0660928315,17.1164622464537,8.18218167433816,73.274333294898,72.110364207417,33.0961745208201,9.20580095461239,15.4911998000047,46.644641933828,7.88834354560799,1524.32527490922,0.164368308988892,11.6635334853556,0.193520305411932,0.230445677906694,0.211732393471762,0.311580312063441,0.311126704444506,0.304262311163554,4.84289952050556,0.318632371804119,10.5989663263597,0.398108287147339,0.481897277473096,0.364783585139202
"4026",62.3587779785707,22834.2859589112,78.9678805017964,60.7049509154918,702.063677285501,6.35885017559388,7.52841484096809,3469.21813618085,8.30265748105282,5.88598660495508,83.1385153320469,36.1250171974212,33.3035591255788,3.43489458287168,23.0946332854788,28.898220193927,5.93557665782217,1982.2168458354,0.221003693804205,11.9313015005346,0.241908383563427,0.259227987907007,0.199617859886947,0.281827145836756,0.294640329841797,0.394578295854269,12.054014129985,0.431217045415876,11.7914066062908,0.371593276289066,0.39262967839703,0.409559994671151
