"","date","total_cows","missing_cow","double_detection_bins","negative_visit_bins","cows_disappeared_after_noon","bins_never_visited","bins_low_traffic","long_dur_feeder","large_intake_feed_visit","low_daily_feed_intake_cows","high_daily_feed_intake_cows","long_dur_drinker","large_intake_water_visit","low_daily_water_intake_cows","high_daily_water_intake_cows"
"134","2020-11-25",48,NA,NA,"13; 14; 102; 103",NA,NA,NA,NA,"14",NA,"5123, 79.5000000000001",NA,"102",NA,NA
"135","2020-11-26",48,NA,NA,"13; 14; 103",NA,NA,NA,NA,"1; 14; 22",NA,NA,NA,NA,"5139, 51.3",NA
"136","2020-11-27",48,NA,NA,"13; 14; 103",NA,NA,NA,NA,"3; 24",NA,NA,NA,"103; 104","6033, 58.4",NA
"137","2020-11-28",48,NA,NA,"13; 14; 103; 104",NA,NA,NA,NA,NA,NA,"5123, 76.1; 6022, 77",NA,"103","6033, 57.9",NA
"138","2020-11-29",48,NA,"105","13; 14; 103; 104",NA,NA,NA,NA,"3; 14","5046, 30.6; 5139, 25",NA,NA,NA,"5139, 45.8",NA
"139","2020-11-30",48,NA,NA,"13; 14; 104",NA,NA,NA,NA,"14",NA,"6022, 76.5; 7027, 75.1",NA,"101; 103; 104","5139, 50.5",NA
"140","2020-12-01",48,NA,NA,"13; 14; 103",NA,NA,NA,NA,"14","5139, 33.7","5061, 75",NA,"104","5046, 53.4; 5139, 40.7",NA
"141","2020-12-02",48,NA,NA,"14",NA,NA,NA,NA,"14","5139, 35",NA,NA,NA,"5139, 56.9",NA
"142","2020-12-03",48,NA,NA,"13; 103",NA,"14",NA,NA,NA,"5139, 33.7",NA,NA,"101",NA,NA
"143","2020-12-04",52,NA,NA,"6; 13; 30","2074, 09:16:17; 5139, 02:23:22; 5145, 01:32:59; 6030, 10:48:15; 7043, 11:06:24","14",NA,NA,"1","2074, 29.8; 5139, 3.9; 5145, 8.5; 6030, 31.7; 6041, 33.1; 6067, 33.1; 7043, 26.9",NA,NA,"101","2074, 33; 6030, 46; 6041, 38.5; 6067, 53.2; 7043, 47; 7046, 54.8",NA
"144","2020-12-05",47,"Yes","104","13; 103",NA,"14",NA,NA,NA,NA,NA,NA,"104",NA,NA
"145","2020-12-06",47,"Yes",NA,"13; 103; 104",NA,"14",NA,NA,NA,NA,"4044, 75.3",NA,"104",NA,NA
"146","2020-12-07",48,NA,"9; 104","6; 13; 18; 103; 104","6087, 10:47:17",NA,NA,NA,"9","4008, 21; 6033, 32.7; 6087, 15.3",NA,NA,"101; 102; 104","4008, 10.5; 6087, 34.8",NA
"147","2020-12-08",48,NA,"8; 10; 16; 26; 104","6; 18; 103",NA,NA,NA,NA,"5; 6; 10; 16; 18",NA,"4072, 75.1",NA,"101; 104","6087, 51.5",NA
"148","2020-12-09",48,NA,"101","103",NA,NA,NA,NA,"13",NA,NA,NA,"101; 104",NA,NA
"149","2020-12-10",48,NA,"8; 105","103",NA,NA,NA,NA,NA,NA,"5123, 75.6",NA,"101",NA,NA
"150","2020-12-11",48,NA,"24; 105","103",NA,"104",NA,NA,NA,NA,NA,NA,NA,"6050, 58.4",NA
"151","2020-12-12",48,NA,"6","103",NA,"104",NA,NA,NA,NA,NA,NA,"101",NA,NA
"152","2020-12-13",48,NA,"6","103",NA,"104",NA,NA,"27",NA,"5123, 77",NA,"101",NA,NA
"153","2020-12-14",48,NA,"6; 105","6; 7; 103",NA,"104",NA,NA,"20",NA,NA,NA,"101","5135, 51.4",NA
"154","2020-12-15",48,NA,"105","23; 103",NA,"104",NA,NA,NA,NA,NA,NA,"101; 102",NA,NA
"155","2020-12-16",48,NA,NA,"30; 103",NA,NA,NA,NA,NA,NA,"5123, 75.1",NA,"101",NA,NA
"156","2020-12-17",47,"Yes",NA,"103; 104",NA,NA,NA,NA,"8",NA,NA,NA,"101","5137, 59.2",NA
"157","2020-12-18",47,"Yes","6","6; 103; 104",NA,NA,NA,NA,NA,NA,"5120, 75.5",NA,"101","6033, 54.2",NA
"158","2020-12-19",47,"Yes",NA,"6; 103",NA,NA,NA,NA,NA,"5028, 27.2",NA,NA,"101; 102",NA,NA
"159","2020-12-20",47,"Yes",NA,"30; 103; 104",NA,NA,NA,NA,"5","5028, 7.39999999999999",NA,NA,"101","5028, 0.600000000000001",NA
"160","2020-12-21",47,"Yes",NA,"3; 6; 7; 8; 12; 17; 21; 22; 23; 28",NA,NA,NA,NA,NA,"5028, 24.9",NA,NA,NA,"5028, 21.4",NA
"161","2020-12-22",59,NA,"5; 6; 10; 12; 13; 17; 18; 23; 24; 26; 28; 29; 102; 104; 105","103; 104","5028, 07:16:17; 6027, 11:40:53; 6079, 11:53:14",NA,NA,NA,NA,"2063, 20.6; 3119, 25.9; 4072, 18; 5028, 11.2; 5035, 30.3; 5058, 29.4; 5096, 1.2; 5123, 24.4; 6027, 23.7; 6043, 19.1; 6060, 24.6; 6069, 25.6; 6079, 32.2; 6129, 22.1; 7023, 13.7; 7025, 27.6; 7045, 32.5; 7057, 29.2; 7064, 27.7; 7068, 19.9; 7078, 34.8; 7095, 29.9",NA,NA,NA,"2063, 39.9; 4072, 33.6; 5028, 16.5; 5035, 58.1; 5058, 55.1; 5096, 22.4; 5123, 42.6; 6027, 32.4; 6033, 55.4; 6043, 26.8; 6060, 33.1; 6069, 26.5; 6079, 56.7; 6129, 24.2; 7023, 21.2; 7025, 41.9; 7045, 54.8; 7057, 54; 7064, 32.3; 7068, 43.1; 7078, 48.3; 7095, 53.4",NA
"162","2020-12-23",48,NA,NA,"2; 13; 102; 103; 104",NA,NA,NA,NA,NA,NA,"5096, 76.5",NA,NA,"6043, 55.8; 7018, 53.5",NA
"163","2020-12-24",48,NA,NA,NA,NA,NA,NA,NA,"1",NA,"6067, 76.6",NA,"101",NA,NA
"164","2020-12-25",48,NA,NA,"1; 3; 8; 13; 103",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5137, 59.2; 6043, 54.1; 7057, 57.2",NA
"165","2020-12-26",48,NA,NA,"103; 104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","2020-12-27",48,NA,NA,"103; 104",NA,NA,NA,NA,"21",NA,NA,NA,"101; 102","6033, 59.2",NA
"167","2020-12-28",48,NA,NA,"1; 6; 103; 104",NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA
"168","2020-12-29",48,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,"5137, 57.7",NA
"169","2020-12-30",48,NA,NA,"6; 103; 104",NA,NA,NA,NA,"2",NA,NA,NA,NA,"6033, 56.4",NA
"170","2020-12-31",48,NA,NA,"103",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6033, 59.8",NA
"171","2021-01-01",48,NA,"19","103; 104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","2021-01-02",48,NA,NA,"5; 6; 103; 104",NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA
"173","2021-01-03",48,NA,NA,"6; 103",NA,NA,NA,NA,"8",NA,NA,NA,NA,"6033, 50.2",NA
"174","2021-01-04",48,NA,NA,"103; 105",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5137, 58.1; 6033, 52.8",NA
"175","2021-01-05",48,NA,NA,"103; 104",NA,NA,NA,NA,"30",NA,NA,NA,"101",NA,NA
"176","2021-01-06",48,NA,NA,"6; 103",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5137, 48.6; 6033, 57.2",NA
"177","2021-01-07",52,NA,"102","103; 104","5137, 05:08:26; 6121, 05:10:34; 7024, 02:51:29; 7027, 02:54:30",NA,NA,NA,NA,"5137, 3.3; 6085, 30.6; 6092, 31.2; 6121, 3.3; 7024, 2.5; 7027, 2.7; 7032, 26.2; 7048, 32; 7110, 30.5",NA,NA,NA,"5137, 7.6; 6050, 55.9; 6085, 26; 6092, 39; 6121, 3.2; 7027, 11.8; 7032, 55.9; 7048, 51.1; 7110, 34.2",NA
"178","2021-01-08",48,NA,NA,"103",NA,NA,NA,NA,"1",NA,"7033, 100.4",NA,"101",NA,NA
"179","2021-01-09",48,NA,NA,"103; 104",NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA
"180","2021-01-10",48,NA,NA,"6; 103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","2021-01-11",48,NA,NA,"103; 104",NA,NA,NA,NA,"25",NA,NA,NA,NA,"5046, 59.4",NA
"182","2021-01-12",48,NA,NA,"6; 7; 103; 104",NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA
"183","2021-01-13",48,NA,"8","103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","2021-01-14",48,NA,NA,NA,NA,NA,NA,NA,"26",NA,NA,NA,NA,NA,NA
"185","2021-01-15",48,NA,NA,"103; 104",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"186","2021-01-16",48,NA,NA,"17; 104",NA,NA,NA,NA,"1; 13; 17; 20",NA,"6029, 96.8",NA,NA,NA,NA
"187","2021-01-17",48,NA,NA,"6; 17; 103; 104",NA,NA,NA,NA,"18","6085, 34.8",NA,NA,NA,NA,NA
"188","2021-01-18",48,NA,NA,"3; 104",NA,NA,NA,NA,"26","5120, 34.8","6085, 79.5",NA,NA,"5120, 54.8; 6029, 59; 7018, 58.8",NA
"189","2021-01-19",48,NA,NA,"103",NA,NA,NA,NA,"15; 22","5124, 19",NA,NA,NA,"5124, 36.5",NA
"190","2021-01-20",48,NA,"8","6; 103","5135, 07:07:39; 7019, 10:07:52",NA,NA,NA,NA,"5135, 14.6; 7019, 19.4",NA,NA,"103","5135, 17.3; 7019, 20.7",NA
"191","2021-01-21",51,NA,NA,"1; 103","3119, 10:24:28; 3131, 07:38:47; 7055, 11:22:53",NA,NA,NA,NA,"3131, 15.9; 6086, 13.8; 7055, 23.5; 7109, 31.7; 7116, 31.5; 7136, 23.8",NA,NA,"102","3119, 58; 3131, 44.3; 6086, 21.5; 7109, 42; 7116, 42.5; 7136, 41",NA
"192","2021-01-22",48,NA,NA,"5; 103",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7018, 54",NA
"193","2021-01-23",48,NA,NA,"104",NA,NA,NA,NA,"16",NA,NA,NA,NA,"7018, 55.8",NA
"194","2021-01-24",48,NA,NA,"6; 103; 104",NA,NA,NA,NA,"7; 11",NA,NA,NA,NA,NA,NA
"195","2021-01-25",48,NA,NA,"6; 7; 103; 104",NA,NA,NA,NA,"3",NA,NA,NA,NA,"6055, 55.6; 7048, 57.7",NA
"196","2021-01-26",48,NA,NA,"1; 6; 103",NA,NA,NA,NA,"6; 12; 22",NA,NA,NA,NA,"7018, 55.4",NA
"197","2021-01-27",48,NA,"8","6; 103",NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA
"198","2021-01-28",48,NA,"8","103",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7018, 50.8; 7057, 59.3",NA
"199","2021-01-29",48,NA,"8","1; 103; 104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","2021-01-30",48,NA,NA,"6; 103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","2021-01-31",48,NA,NA,"103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","2021-02-01",48,NA,"6","6; 103",NA,NA,NA,NA,"6",NA,NA,NA,"101","6043, 57.3; 7018, 48.2",NA
"203","2021-02-02",47,"Yes",NA,"103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","2021-02-03",47,"Yes","5","6; 103",NA,NA,NA,NA,NA,"6050, 29.4",NA,NA,NA,"5124, 57.4; 6050, 51; 6055, 59.4",NA
"205","2021-02-04",58,NA,"8","1; 6; 102; 103; 104","5046, 07:44:39; 5124, 03:22:15; 6020, 10:39:20; 6050, 02:48:47; 6055, 11:30:02; 7018, 10:38:43; 7022, 10:36:29; 7032, 09:31:18; 7033, 11:45:13",NA,NA,NA,"1","3139, 21.8; 4105, 27.2; 5046, 18.4; 5124, 7; 6020, 22.7; 6050, 5.9; 6055, 20.1; 6064, 10.9; 6068, 13.8; 6069, 0; 6096, 16.1; 7018, 13.9; 7022, 20.3; 7032, 13; 7033, 15.9; 7059, 12.8; 7060, 17.3; 7115, 14.6; 7119, 20.7; 7156, 17.4",NA,NA,NA,"3139, 34.7; 4105, 37.5; 5046, 30.6; 5124, 9.59999999999999; 6020, 41.1; 6050, 6; 6055, 36.2; 6064, 22.5; 6068, 15.7; 6096, 9; 7018, 24.7; 7022, 46.4; 7032, 36.9; 7033, 31.4; 7059, 5.6; 7060, 20.9; 7115, 38.7; 7119, 45.3; 7156, 23.1",NA
"206","2021-02-05",48,NA,"8; 20; 27","1; 102; 103; 104",NA,NA,NA,NA,NA,"3139, 26.7; 4008, 31.8; 6064, 27.7; 6086, 28; 7025, 33.7; 7057, 32.2; 7059, 26.1; 7060, 31.2; 7114, 34; 7116, 28.5; 7119, 27; 7136, 28.6; 7156, 30.2",NA,NA,NA,"4080, 57.9; 5100, 53.8; 5120, 47.1; 6086, 39.1; 6096, 58.7; 7057, 28.4; 7059, 49.6; 7119, 38.3; 7156, 22.2",NA
"207","2021-02-06",48,NA,"22; 101","3; 102; 103",NA,"5; 6",NA,NA,"3; 14","3139, 29.5; 4008, 31.2; 4105, 33.3; 5100, 34.1; 6064, 13; 6068, 32.7; 6086, 20.9; 7059, 25.5; 7060, 34.8; 7095, 33.7; 7109, 32; 7114, 27.1; 7115, 32.4; 7116, 24; 7136, 31.8; 7156, 28.1",NA,NA,NA,"6005, 28.4; 6096, 26.3; 7057, 47.4; 7059, 22.4; 7060, 57.4; 7119, 46.7; 7156, 19.6",NA
"208","2021-02-07",48,NA,NA,"1; 30; 103",NA,"5; 6",NA,NA,"1",NA,NA,NA,NA,"7057, 42.4; 7116, 56",NA
"209","2021-02-08",48,NA,NA,"1; 3; 16; 30; 104",NA,"5; 6",NA,NA,"30",NA,NA,NA,NA,NA,NA
"210","2021-02-09",48,NA,"8; 10; 14; 23; 24","7",NA,"5; 6",NA,NA,"9",NA,NA,NA,NA,NA,NA
"211","2021-02-10",48,NA,"8","6; 103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","2021-02-11",48,NA,"26","1; 2; 7; 8; 9; 10; 11; 12; 13; 15; 16; 23; 24; 25; 26; 29; 101; 102; 103; 104; 105",NA,NA,NA,NA,NA,"5061, 32.1; 5100, 31.3; 6084, 32.3; 6086, 31.3; 6087, 33.2; 7025, 26.9; 7109, 32.5; 7115, 33.5; 7116, 24.4; 7119, 34.2; 7136, 27.9",NA,NA,NA,"5061, 43.8; 5096, 44.1; 6086, 57.2; 7109, 49.4; 7116, 35",NA
"213","2021-02-12",48,NA,"1; 2; 5; 19; 22; 23; 29; 101; 104","7; 21; 101; 102; 103; 104",NA,NA,NA,NA,"27","6005, 33.3; 6064, 30.2; 7045, 29.3; 7057, 29.1; 7114, 34.8",NA,NA,NA,"2051, 52.5; 4008, 52.9; 5042, 50.9; 5061, 57.6; 5096, 40.2; 5120, 30.4; 6005, 42.6; 6085, 47.1; 6086, 59; 7045, 60; 7057, 22.3; 7059, 45.2; 7064, 56; 7109, 35.1; 7136, 56.2; 7156, 57.9",NA
"214","2021-02-13",48,NA,"8","24; 30; 103; 104",NA,NA,NA,NA,"5; 8; 17",NA,"4008, 79.1; 4105, 78.8; 6022, 80.3; 6067, 82.3; 7064, 80.4; 7068, 81.6; 7095, 78.2; 7110, 83.3; 7136, 80.9",NA,"101","6085, 43.9",NA
"215","2021-02-14",48,NA,NA,"14; 30; 103; 104","6085, 03:35:55",NA,NA,NA,"10; 30",NA,NA,NA,NA,"6085, 4.09999999999999; 6090, 58; 7109, 49.2",NA
"216","2021-02-15",47,"Yes","6; 8; 12","6; 8; 30; 103; 104",NA,NA,NA,NA,"6; 8; 10; 25; 29",NA,"6022, 104.8; 6061, 99; 6067, 76.4; 7136, 87.3",NA,NA,"6061, 59.3",NA
"217","2021-02-16",47,"Yes",NA,"6; 30","5120, 04:07:45",NA,NA,NA,"15; 16; 30","5120, 8.2","5059, 76.1; 6022, 79.1",NA,"103","5042, 53.7; 5120, 6.7; 6090, 58.7; 7116, 56.7",NA
"218","2021-02-17",47,"Yes","8","6; 11; 30; 103; 104",NA,NA,NA,NA,"1; 7","6085, 1.7","5061, 75.4; 7046, 75.1",NA,NA,"6085, 4.79999999999999; 7114, 58.8",NA
"219","2021-02-18",52,NA,"4","103; 104","5041, 10:47:31; 5059, 09:24:26; 6005, 09:26:31; 7057, 06:56:02",NA,NA,NA,"20","5041, 20.8; 5059, 33; 6005, 23.6; 6062, 34.5; 7057, 16.3","6029, 80.6; 6067, 78.8",NA,NA,"2051, 53.7; 5041, 16.3; 5042, 55.2; 5059, 45.6; 5120, 45.4; 6005, 28; 6061, 57.5; 6062, 25.9; 6090, 52.3; 7135, 36.8; 7147, 45.8; 7153, 39.9; 7163, 36.6",NA
"220","2021-02-19",48,NA,NA,"103; 104",NA,NA,NA,NA,"13; 15; 17; 18; 25",NA,"5035, 79.7",NA,NA,NA,NA
"221","2021-02-20",48,NA,NA,"30; 103",NA,NA,NA,NA,"23; 28; 30",NA,"6067, 82",NA,NA,"5042, 56.6; 6090, 52.7; 7110, 56.2",NA
"222","2021-02-21",48,NA,NA,"6; 30; 103; 104",NA,NA,NA,NA,"9; 16",NA,NA,NA,NA,"2051, 58.1; 4080, 59.4",NA
"223","2021-02-22",48,NA,"3; 15","6; 30; 102; 103; 104",NA,NA,NA,NA,"18; 21",NA,"6029, 75.1; 7059, 75.6; 7064, 77.1",NA,NA,"5042, 55.9",NA
"224","2021-02-23",48,NA,"8","8; 25; 30; 103",NA,NA,NA,NA,"20; 22",NA,NA,NA,NA,"2051, 56.5; 5120, 58.1",NA
"225","2021-02-24",48,NA,"19","3; 30; 103",NA,NA,NA,NA,"10; 20; 26",NA,"5035, 76.9; 6029, 76.8; 6067, 83.1",NA,"102",NA,NA
"226","2021-02-25",48,NA,NA,"3; 30; 103",NA,NA,NA,NA,"3; 21; 23; 26",NA,"7136, 80.6",NA,NA,"5042, 49.8; 6090, 56.8",NA
"227","2021-02-26",48,NA,NA,"3; 30; 103",NA,NA,NA,NA,"3",NA,"4008, 87.7; 5100, 77.3",NA,"102",NA,NA
"228","2021-02-27",48,NA,"4; 6","3; 5; 6; 30; 103",NA,NA,NA,NA,"1; 2; 5; 21",NA,"4105, 79.6; 6067, 76.8",NA,"102","5042, 51.4; 6090, 59.1",NA
"229","2021-02-28",48,NA,NA,"3; 30; 103; 104",NA,NA,NA,NA,"7; 9; 15",NA,"4008, 78.6; 5035, 78.6; 6029, 81.4; 6061, 75.2; 6062, 76.4; 7048, 76",NA,NA,NA,NA
"230","2021-03-01",48,NA,NA,"6; 25; 30; 103; 104; 105",NA,NA,NA,NA,"9; 30",NA,"4105, 76.6",NA,"102",NA,NA
"231","2021-03-02",48,NA,"103","1; 2; 25; 30; 103",NA,NA,NA,NA,"1; 2; 22; 25; 26; 30",NA,"6029, 80.3; 7135, 117.9",NA,NA,"5042, 47.8; 7156, 59.9",NA
"232","2021-03-03",53,NA,NA,"101","2051, 07:53:26; 5042, 10:04:21; 5061, 07:52:05; 7095, 08:59:55; 7156, 10:02:04",NA,NA,NA,"2","2051, 21.4; 5042, 6.8; 5061, 6.00000000000001; 7095, 13.8; 7128, 29; 7138, 25.8; 7156, 18.4; 7163, 33.4; 8083, 30.1",NA,NA,NA,"2051, 36.6; 5042, 0.900000000000006; 5061, 2.1; 5100, 45.4; 6086, 49.8; 6090, 45.7; 6092, 59.5; 7046, 25.8; 7095, 49.9; 7128, 55.1; 7138, 26.5; 7156, 33.7; 7163, 38.4; 8083, 40.2",NA
"233","2021-03-04",48,NA,NA,"30",NA,NA,NA,NA,"12",NA,"6029, 80; 6045, 76; 7064, 76; 7078, 76.9",NA,"101; 102; 103",NA,NA
"234","2021-03-05",48,NA,NA,"6; 25",NA,NA,NA,NA,"10","6068, 34.1","6022, 79.9; 6045, 78.2; 6096, 76.3; 7068, 76.4",NA,NA,NA,NA
"235","2021-03-06",48,NA,"1; 5; 102","29; 30; 101; 103","6062, 07:12:56",NA,NA,NA,"1; 9; 17; 20; 25; 30","6062, 20.2","4105, 75.8; 6045, 75.6; 6067, 75.8",NA,"101","4008, 59.4; 5100, 58.5; 6062, 28.5",NA
"236","2021-03-07",48,NA,"3","3; 6; 30; 102; 105",NA,NA,NA,NA,NA,NA,NA,NA,"102","6041, 58.6; 6090, 44.2",NA
"237","2021-03-08",48,NA,"2","2; 12; 30; 103",NA,NA,NA,NA,NA,NA,"6022, 86.4; 6045, 86.7; 6062, 75.9; 6067, 82.2; 6068, 76.2; 7064, 76.2",NA,NA,NA,NA
"238","2021-03-09",48,NA,NA,"30; 102; 103",NA,NA,NA,NA,NA,NA,"5118, 78.6; 7068, 78.7; 7153, 78.4",NA,NA,NA,NA
"239","2021-03-10",48,NA,NA,"30; 103",NA,NA,NA,NA,"30",NA,"6067, 76; 6096, 78.2; 7064, 76",NA,NA,NA,NA
"240","2021-03-11",48,NA,"5; 6; 8","2; 3; 5; 6; 12; 30; 102",NA,NA,NA,NA,"1; 5; 6; 8",NA,"6045, 92.2; 7025, 159.1; 7046, 76.7; 7119, 98.7; 7163, 76",NA,"102",NA,NA
"241","2021-03-12",48,NA,NA,"6; 10",NA,NA,NA,NA,NA,NA,"4105, 78.3; 6029, 78.3; 6062, 78.8",NA,NA,NA,NA
"242","2021-03-13",48,NA,"4; 8","6; 30; 103",NA,NA,NA,NA,"16; 24",NA,NA,NA,NA,"6087, 59.1; 6090, 50.6",NA
"243","2021-03-14",48,NA,"2; 6","6; 30; 103",NA,NA,NA,NA,"10",NA,NA,NA,"101",NA,NA
"244","2021-03-15",48,NA,"1; 2; 3; 4; 5; 6; 7; 8; 9; 13; 14; 19; 22; 23; 24; 25; 26; 27; 30; 101; 103; 105","3; 4; 6; 7; 30; 103",NA,NA,NA,NA,"1; 6; 25; 30",NA,NA,NA,NA,NA,NA
"245","2021-03-16",48,NA,"12","28; 30; 104",NA,NA,NA,NA,NA,"4044, 30.6; 6090, 30.8; 7110, 32.6",NA,NA,NA,NA,NA
"246","2021-03-17",53,NA,"8","3; 6; 103","3139, 10:39:27; 4105, 08:55:37; 6022, 10:48:00; 7059, 10:47:59; 7135, 11:11:43",NA,NA,NA,"3","3139, 22.9; 4026, 24.4; 4057, 27.3; 4105, 16.9; 5064, 25.8; 6022, 31.2; 7059, 31.7; 7135, 17.6",NA,NA,"102","3139, 53.4; 4026, 31.5; 4057, 19.6; 4105, 40.7; 7059, 56.6; 7135, 29.5",NA
"247","2021-03-18",48,NA,NA,"5; 6; 30; 103; 104",NA,NA,NA,NA,NA,NA,NA,NA,"101; 102; 103",NA,NA
"248","2021-03-19",48,NA,"1; 2","1; 6; 30; 103",NA,NA,NA,NA,"1","6086, 33.5","5120, 82.0000000000001; 6061, 122.7; 7046, 81.2",NA,NA,"5100, 55.4",NA
"249","2021-03-20",48,NA,"5; 25; 30","1; 6; 30; 103",NA,NA,NA,NA,"1","6090, 33.8; 7115, 34.1","6061, 92.1; 6125, 118.4",NA,NA,"6090, 40.5; 7064, 50.5; 7109, 46.5; 7147, 58.4",NA
"250","2021-03-21",48,NA,"5","1; 5; 6; 104",NA,NA,NA,NA,"1; 5","5120, 34","6061, 105.7; 7109, 105.8",NA,"101",NA,NA
"251","2021-03-22",48,NA,"12","6; 103; 104",NA,NA,NA,NA,"26; 30","5100, 33.8; 6086, 29.9; 6090, 28.3","5064, 106.2",NA,"101; 102","6090, 41.8",NA
"252","2021-03-23",48,NA,"2; 8","24; 104",NA,NA,NA,NA,NA,"5100, 30.2; 7045, 32.7; 7116, 24.4",NA,NA,NA,"5096, 39; 5100, 59.3; 6061, 58.7; 7045, 54.5; 7116, 53.7; 7153, 51.4",NA
"253","2021-03-24",48,NA,"5; 8","6; 24; 30",NA,NA,NA,NA,NA,"5100, 34.7",NA,NA,NA,NA,NA
"254","2021-03-25",48,NA,"5; 8","6; 21; 24; 104",NA,NA,NA,NA,NA,"6090, 34.8",NA,NA,NA,NA,NA
"255","2021-03-26",48,NA,"5","6; 24",NA,NA,NA,NA,"10","5100, 30.9; 5120, 33.3; 6090, 29.4",NA,NA,NA,"6090, 47.3",NA
"256","2021-03-27",48,NA,"5","2; 30; 104",NA,NA,NA,NA,NA,NA,NA,NA,"101; 102","6090, 56.2",NA
"257","2021-03-28",48,NA,"5","2; 3; 11; 26",NA,NA,NA,NA,NA,NA,NA,NA,"102",NA,NA
"258","2021-03-29",48,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,"101; 103; 104",NA,NA
"259","2021-03-30",48,NA,NA,"24",NA,NA,NA,NA,"21",NA,NA,NA,"101",NA,NA
"260","2021-03-31",48,NA,"6","103",NA,NA,NA,NA,NA,"5100, 32.5",NA,NA,"101",NA,NA
"261","2021-04-01",48,NA,NA,"6; 30; 102; 103",NA,NA,NA,NA,NA,NA,NA,NA,"101",NA,NA
"262","2021-04-02",48,NA,"6","6; 25; 30",NA,NA,NA,NA,NA,NA,NA,NA,"101","6090, 56",NA
"263","2021-04-03",48,NA,NA,NA,NA,NA,NA,NA,"28",NA,NA,NA,"101; 102",NA,NA
"264","2021-04-04",48,NA,NA,"24; 30; 104",NA,NA,NA,NA,NA,NA,NA,NA,"101",NA,NA
"265","2021-04-05",48,NA,NA,"6; 104",NA,NA,NA,NA,"5","6090, 28.6",NA,NA,"102; 103",NA,NA
"266","2021-04-06",48,NA,NA,"6; 7; 24; 30; 103",NA,NA,NA,NA,"17","6090, 24.8",NA,NA,"101; 102","6090, 40",NA
"267","2021-04-07",48,NA,"19","7; 24; 30; 102; 103",NA,NA,NA,NA,NA,"4080, 34.8; 6090, 29.6",NA,NA,"104","6090, 47.8",NA
"268","2021-04-08",58,NA,NA,"30; 103","4080, 09:57:36; 5035, 10:47:04; 6064, 11:13:03; 6067, 08:31:49; 6084, 09:53:47; 6090, 09:34:05; 7046, 09:54:46; 7068, 08:49:14; 7078, 10:55:23; 7119, 08:11:19",NA,NA,NA,"24","4080, 10.5; 5035, 14.5; 6017, 18.3; 6046, 32.3; 6064, 15.6; 6067, 26.9; 6084, 16.6; 6090, 8.99999999999999; 7046, 10.7; 7064, 22.7; 7068, 13; 7078, 21.5; 7119, 13.9; 7123, 25.5; 7139, 23.3; 7143, 23.1; 8145, 25.6; 8146, 24; 8154, 20; 9010, 23.1; 9012, 28.9",NA,NA,"101","4080, 18.9; 5035, 30.4; 6017, 36.6; 6046, 52.9; 6064, 39.1; 6067, 44.6; 6084, 30.1; 6090, 19.2; 7046, 27.5; 7064, 41.7; 7068, 20.4; 7078, 35.6; 7119, 26.2; 7123, 41.4; 7139, 50.9; 7143, 39.5; 8145, 49.1; 8146, 45; 8154, 26.5; 9010, 43.9; 9012, 48.4",NA
"269","2021-04-09",48,NA,NA,"7; 103; 104",NA,NA,NA,NA,NA,"6125, 33.7; 7064, 29.9; 8154, 33.2; 9010, 21.8",NA,NA,"101; 105","9010, 58",NA
"270","2021-04-10",48,NA,NA,"9; 103",NA,NA,NA,NA,NA,"5096, 24.4; 9010, 30.7",NA,NA,NA,"5096, 37.4; 9010, 59.6",NA
"271","2021-04-11",47,"Yes",NA,"7; 103; 104",NA,NA,NA,NA,NA,"8145, 34.4; 8154, 31.5",NA,NA,NA,NA,NA
"272","2021-04-12",49,NA,NA,"6; 104","4057, 00:46:18",NA,NA,NA,"23","4057, 5.4; 6064, 18.9; 7078, 32.3; 7153, 26.7; 8145, 31.9; 8154, 31.8",NA,NA,NA,"4057, 5.59999999999999; 6064, 40.6; 7078, 56.8",NA
