"","date","total_cows","missing_cow","double_detection_bins","negative_visit_bins","cows_disappeared_after_noon","bins_never_visited","bins_low_traffic","long_dur_feeder","large_intake_feed_visit","low_daily_feed_intake_cows","high_daily_feed_intake_cows","long_dur_drinker","large_intake_water_visit","low_daily_water_intake_cows","high_daily_water_intake_cows"
"29","2020-08-12",47,"Yes",NA,NA,NA,"105",NA,NA,NA,NA,NA,NA,NA,"7169, 47.1",NA
"30","2020-08-13",47,"Yes",NA,"103; 104",NA,"105",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-08-14",47,"Yes",NA,"104",NA,"105",NA,NA,NA,NA,NA,NA,NA,"5005, 58; 6011, 54.2",NA
"32","2020-08-15",47,"Yes",NA,"3; 103",NA,"105",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-08-16",47,"Yes",NA,"14; 103",NA,"105",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-08-17",48,NA,NA,NA,NA,"105",NA,NA,"13","4038, 32.6","3117, 77.3",NA,"101","7169, 59.7",NA
"35","2020-08-18",48,NA,NA,NA,NA,"105",NA,NA,"8",NA,NA,NA,NA,NA,NA
"36","2020-08-19",48,NA,NA,"101; 103",NA,"105",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-08-20",48,NA,NA,NA,NA,"105",NA,NA,NA,NA,NA,NA,"101; 102","7169, 55.7",NA
"38","2020-08-21",53,NA,"12","103","4038, 08:19:46; 6004, 09:46:04; 6039, 08:16:55; 6047, 07:21:45; 7169, 07:36:23","105",NA,NA,"1","4038, 15.6; 5058, 22.3; 6004, 15.7; 6039, 11.7; 6047, 22.3; 7169, 21",NA,NA,NA,"3150, 57.4; 4038, 30.2; 5058, 19.7; 5120, 51.8; 5139, 50.8; 6004, 18; 6039, 38.2; 6047, 52.7; 7169, 29.1",NA
"39","2020-08-22",48,NA,"12",NA,NA,"105",NA,NA,"23; 26; 30",NA,"5005, 98.5; 5135, 76.9",NA,NA,"6030, 49.6",NA
"40","2020-08-23",48,NA,NA,NA,NA,"105",NA,NA,"5; 15; 20; 22; 26","7029, 10.3",NA,NA,"101","5028, 28.8; 7029, 49.3",NA
"41","2020-08-24",48,NA,"30","25; 104",NA,"105",NA,NA,"6","6021, 19.7",NA,NA,"101; 102","5139, 55.1; 6021, 53; 6030, 39.4; 7029, 52.7",NA
"42","2020-08-25",48,NA,"6","6; 25; 104",NA,"105",NA,NA,NA,"7027, 31.3",NA,NA,NA,"5005, 37.1; 5139, 56.7; 7010, 26",NA
"43","2020-08-26",48,NA,NA,"3; 103",NA,"105",NA,NA,NA,NA,NA,NA,NA,"5005, 53.6; 5139, 40.6",NA
"44","2020-08-27",48,NA,"13; 14; 19; 20; 22; 27; 28; 29; 30; 103","7; 103; 104",NA,"105",NA,NA,"17",NA,NA,NA,NA,NA,NA
"45","2020-08-28",48,NA,"23","1; 3; 104",NA,NA,"105",NA,NA,NA,NA,NA,"101; 102; 103; 104",NA,NA
"46","2020-08-29",48,NA,"19; 104; 105","13; 104; 105",NA,NA,NA,NA,"8","6033, 28.8",NA,NA,"101","6033, 46",NA
"47","2020-08-30",48,NA,NA,NA,NA,NA,NA,NA,"8; 19",NA,NA,NA,NA,"5135, 59.1; 6033, 59.3; 8015, 54.1",NA
"48","2020-08-31",48,NA,"12; 17","25; 104",NA,NA,NA,NA,"13",NA,NA,NA,"104",NA,NA
"49","2020-09-01",48,NA,NA,"103",NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA
"50","2020-09-02",48,NA,"27","1; 2; 3; 6; 104",NA,NA,NA,NA,"9","5041, 32.9; 7146, 34.5",NA,NA,"101","6050, 56.7",NA
"51","2020-09-03",47,"Yes","9; 11; 15; 16; 23; 102","103; 104",NA,NA,NA,NA,"15; 23","5041, 13.9",NA,NA,"101","5041, 37.1",NA
"52","2020-09-04",52,NA,"3; 6; 15; 16; 17; 24; 102; 103","23; 103","2007, 07:19:44; 3117, 08:05:53; 6131, 09:20:08; 7037, 09:55:45; 7065, 09:20:15",NA,NA,NA,"15; 17; 24","2007, 20.4; 3117, 24.7; 5041, 10.4; 5100, 34.9; 5124, 22.3; 6023, 23; 6055, 19.3; 6121, 21.8; 6131, 17.6; 7037, 28.7; 7065, 15.3",NA,NA,"101; 102; 103","2007, 42.2; 3117, 33; 5041, 0.100000000000001; 5124, 43; 6023, 42.3; 6055, 42.7; 6121, 44.4; 6131, 28.6; 7037, 46.3; 7065, 44.6",NA
"53","2020-09-05",47,"Yes","2; 3; 4; 15; 16; 17; 101; 102","3; 6; 25","5041, 10:08:01",NA,NA,NA,"3; 15; 17","5041, 5.50000000000001",NA,NA,"101",NA,NA
"54","2020-09-06",46,"Yes","3; 4; 12; 15; 16; 17; 18; 101; 102; 103","25",NA,NA,NA,NA,"3; 19; 25; 28",NA,"7051, 79.6",NA,NA,"5005, 57.4",NA
"55","2020-09-07",46,"Yes","4; 5; 6; 14; 15; 16; 18; 102","7",NA,NA,NA,NA,NA,NA,NA,NA,"101; 103",NA,NA
"56","2020-09-08",46,"Yes","4; 5; 14; 15; 16; 17; 18; 21; 23; 25; 26; 27; 28; 101; 102; 103","25; 103; 104",NA,NA,NA,NA,"5",NA,"6028, 77.5",NA,NA,NA,NA
"57","2020-09-09",46,"Yes","4; 6; 12; 13; 16; 18; 19; 20; 21; 22; 23; 24; 25; 27; 102; 103; 104","3; 103; 104",NA,NA,NA,NA,NA,NA,NA,NA,"101",NA,NA
"58","2020-09-10",48,NA,"2; 8; 12; 17; 18; 20; 22; 23; 24; 26; 27; 28; 103","103",NA,NA,NA,NA,NA,"5041, 14.9; 7146, 26.3",NA,NA,"101","5041, 59.3",NA
"59","2020-09-11",48,NA,"12; 23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2020-09-12",48,NA,"16","103",NA,NA,NA,NA,"3; 23; 24",NA,NA,NA,NA,"5005, 44.9",NA
"61","2020-09-13",48,NA,"4; 14; 16","103",NA,NA,NA,NA,"10; 25",NA,NA,NA,NA,NA,NA
"62","2020-09-14",48,NA,NA,"104",NA,NA,NA,NA,"8",NA,NA,NA,"101; 102",NA,NA
"63","2020-09-15",48,NA,"12","3; 104",NA,NA,NA,NA,"3","8015, 33.7",NA,NA,NA,NA,NA
"64","2020-09-16",48,NA,"16",NA,NA,NA,NA,NA,"12",NA,NA,NA,"105",NA,NA
"65","2020-09-17",48,NA,"23",NA,NA,NA,NA,NA,NA,"8015, 16",NA,NA,"105","8015, 42.3",NA
"66","2020-09-18",48,NA,NA,"6; 103",NA,NA,NA,NA,NA,"8015, 32.5",NA,NA,NA,"5005, 57.1; 6033, 59.1; 8015, 56.5",NA
"67","2020-09-19",48,NA,"103","103",NA,NA,NA,NA,NA,"8015, 27.6",NA,NA,NA,"7146, 58.2; 8015, 48.2",NA
"68","2020-09-20",47,"Yes",NA,NA,NA,NA,NA,NA,"23","7022, 31.4",NA,NA,"101; 102",NA,NA
"69","2020-09-21",47,"Yes",NA,"103",NA,NA,NA,NA,NA,"7019, 31.4; 8015, 32.2",NA,NA,NA,NA,NA
"70","2020-09-22",47,"Yes",NA,"103",NA,NA,NA,NA,NA,"7019, 21.1",NA,NA,"101",NA,NA
"71","2020-09-23",52,NA,NA,NA,"3067, 10:30:24; 6021, 11:56:34; 6023, 11:21:08; 7146, 11:18:30",NA,NA,NA,NA,"3067, 22; 5042, 20.7; 6021, 30.2; 6023, 19.1; 6027, 26.1; 6047, 13.9; 6069, 24.5; 6090, 20.8; 7019, 20.4; 7029, 9.6; 7146, 16.5; 8015, 32.6",NA,NA,"101","3067, 41.7; 5042, 40.5; 6023, 32.9; 6027, 42.7; 6047, 23.2; 6069, 30.2; 6090, 51; 7029, 32.1; 7146, 33.3",NA
"72","2020-09-24",48,NA,NA,"6; 103",NA,NA,NA,NA,NA,"7019, 32.8; 7029, 24.7",NA,NA,"101","7029, 50.7",NA
"73","2020-09-25",48,NA,NA,"103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2020-09-26",28,"Yes",NA,NA,"2074, 01:36:17; 4001, 01:29:05; 5041, 03:00:04; 5042, 02:49:41; 5100, 02:02:18; 5120, 02:56:19; 5124, 02:18:32; 5137, 00:24:44; 5145, 02:03:32; 6005, 01:31:20; 6011, 00:47:46; 6027, 02:08:49; 6033, 03:40:32; 6047, 02:14:56; 6055, 03:41:10; 6090, 03:35:27; 6129, 03:40:32; 6130, 02:29:05; 7010, 02:04:34; 7019, 01:20:29; 7022, 01:34:46; 7023, 00:34:16; 7024, 03:25:14; 7027, 03:01:46; 7033, 00:52:12; 7043, 01:15:52; 7051, 02:19:46; 8015, 00:37:15",NA,"1; 2; 4; 6; 7; 8; 9; 10; 12; 21; 28; 102; 103; 104",NA,NA,"2074, 3.9; 4001, 10.2; 5041, 6.9; 5100, 4.1; 5120, 0; 5124, 7.5; 5137, 4.2; 5145, 1; 6005, 5.8; 6011, 4.6; 6027, 3.9; 6047, 0; 6055, 0.8; 6090, 5.4; 6129, 1.2; 6130, 5.8; 7010, 7; 7019, 5.7; 7022, 5.5; 7023, 0.9; 7024, 0; 7027, 2.5; 7033, 6.2; 7043, 2.5; 7051, 5.4; 8015, 4.6",NA,NA,NA,"2074, 21.7; 4001, 13.6; 5041, 20.8; 5042, 6.1; 5100, 14.6; 5120, 14.9; 5124, 13.8; 5137, 4.9; 5145, 20.9; 6005, 15.7; 6011, 15.6; 6027, 10.9; 6033, 8.8; 6047, 0; 6055, 10.1; 6090, 22.5; 6129, 13; 6130, 13.5; 7010, 27.9; 7019, 14.7; 7022, 14.3; 7027, 9.7; 7033, 17.1; 7051, 19.5; 8015, 15",NA
"75","2020-09-27",48,NA,"1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 101; 102; 103; 104; 105","103",NA,NA,NA,NA,NA,"5028, 20.9",NA,NA,NA,NA,NA
"76","2020-09-28",48,NA,NA,NA,NA,NA,NA,NA,NA,"5028, 28.5",NA,NA,NA,"5028, 48.7",NA
"77","2020-09-29",48,NA,NA,"3",NA,NA,NA,NA,NA,"6033, 33.3",NA,NA,NA,NA,NA
"78","2020-09-30",48,NA,NA,"103",NA,NA,NA,NA,NA,"5140, 25.5",NA,NA,NA,"5140, 57.8",NA
"79","2020-10-01",48,NA,NA,"103",NA,NA,NA,NA,NA,"5140, 27.7",NA,NA,NA,"5140, 52.2",NA
"80","2020-10-02",48,NA,NA,"25; 103",NA,NA,NA,NA,NA,"5140, 30.9",NA,NA,NA,NA,NA
"81","2020-10-03",48,NA,NA,"13; 103; 104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2020-10-04",48,NA,NA,"2; 3; 8; 13; 15; 16; 17; 18; 21; 103; 104",NA,NA,NA,NA,"26; 28",NA,NA,NA,NA,"5140, 53.8",NA
"83","2020-10-05",48,NA,NA,"13; 103",NA,NA,NA,NA,NA,NA,NA,NA,"101",NA,NA
"84","2020-10-06",48,NA,NA,"13; 104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2020-10-07",48,NA,NA,"13",NA,NA,NA,NA,"28","5005, 28.5",NA,NA,NA,"5005, 42.2; 5140, 53.7",NA
"86","2020-10-08",53,NA,NA,"1; 13","5005, 07:30:57; 5140, 10:43:43; 6011, 10:30:41; 6047, 08:49:02; 6134, 10:25:16",NA,NA,NA,"10; 27","4070, 18.5; 5005, 17.6; 5123, 31.7; 5140, 17.7; 6011, 23.3; 6020, 32.6; 6042, 18.9; 6047, 18; 6084, 27.5; 6134, 18","5120, 79.3",NA,"101","4070, 40.2; 5005, 17.1; 5140, 30.8; 6011, 57.9; 6020, 55.1; 6042, 41.5; 6047, 34.5; 6134, 33.9",NA
"87","2020-10-09",48,NA,"1","13; 103; 104",NA,NA,NA,NA,NA,NA,NA,NA,"102",NA,NA
"88","2020-10-10",48,NA,"11","5; 6; 13; 103; 104",NA,NA,NA,NA,"19; 20",NA,NA,NA,"101; 102",NA,NA
"89","2020-10-11",48,NA,NA,"9; 13; 103",NA,NA,NA,NA,"8; 23; 30",NA,"5120, 78",NA,NA,NA,NA
"90","2020-10-12",48,NA,NA,"6; 9; 13; 17",NA,NA,NA,NA,"6; 13; 14","4070, 32.9; 6027, 13.3; 6090, 26.5; 6126, 33.7; 7039, 23","5123, 82.3; 6042, 82.2; 7027, 115.7",NA,"101","6027, 41.6",NA
"91","2020-10-13",48,NA,NA,"6; 13; 104",NA,NA,NA,NA,"10",NA,"2074, 75.7; 7030, 80.7000000000001",NA,"101",NA,NA
