"cluster","n","elo_mean","elo_sd","elo_median","elo_min","elo_max"
"1",55,910.05,87.31,929,929,929
"2",13,981.88,102.83,1007,1007,1007
"3",5,1048.3,81.67,1065,1065,1065
"4",34,1133.57,91,1124.5,1124.5,1124.5
