"cow","cluster","RC1","RC2","RC3","elo_median","elo_mean","elo_sd","n_days"
2007,"1",-0.657093403225039,-0.152961293587796,0.718243522020756,1010,1019.8,31.9199892588596,15
2051,"2",-0.854132170324005,1.18761948966739,0.10644480408907,1036,1035.27586206897,37.9352139808136,58
2063,"4",0.786587517067598,0.19742986767711,-0.706943106589071,1126,1122.8,42.06291583912,10
3067,"1",-1.31344246866239,-1.45657276946216,0.495056345423016,915,918.272727272727,39.6052969368309,33
3117,"1",0.278055511427996,-1.09860034259004,1.09069244365121,912,914.772727272727,25.2245757304106,22
3131,"1",-0.0657701374115135,0.268280928186169,1.65676044133892,743,738,41.6257838647267,35
3150,"1",-1.09933235552976,0.565106721967615,0.753772027508706,1018,1018.73333333333,53.2320446226955,30
4001,"3",2.05211736646823,-0.342090488183419,-0.512145632421691,1111,1112.63461538462,37.4464474328255,52
4008,"1",0.931758804071246,-0.221958033729888,1.1305026916798,894,899.47619047619,53.8390244431991,63
4026,"4",-0.682676424995116,-0.538808767297534,-0.657081091345224,1080,1066.7,37.5649067910759,10
4044,"1",0.126605595006116,-1.07581644160277,0.0514551482226423,982,981.291262135922,45.2660178708222,103
4057,"1",-0.787638995470301,0.661264653269681,1.08804731044879,838,837.333333333333,36.6463146981027,15
4072,"1",0.276791455122991,0.725127143883107,0.919689702764437,999,996.454545454545,43.5662065604407,77
4080,"2",-0.0522914771387365,0.934551109329755,0.880860691769994,987.5,988.541666666667,39.051630242045,96
5005,"4",-1.85281057812386,-0.385129764312251,-1.41974795330052,1283.5,1267.06896551724,69.169474574744,58
5041,"4",1.13873611080163,1.12397529723725,-1.02675481909041,1116,1121.56603773585,46.65843849936,106
5042,"3",4.70096361059225,0.723640180386994,0.551253885502619,1065,1066.90654205607,36.0893892079309,107
5061,"4",0.320132920783566,0.145192790572102,-0.198649391242592,1086,1083.38095238095,51.9254043705739,21
5064,"4",-0.39679961421136,-0.23491132942096,-0.4557991295075,1060.5,1053.65789473684,49.7834642664309,38
5096,"4",-0.540459241172577,-0.749087557575621,-1.3851115510621,1161.5,1150.07142857143,30.3757602898563,14
5100,"4",0.604348134262863,-0.555803639139294,-0.613293248091687,1094,1091.91011235955,47.4350370242001,89
5118,"1",-0.745011651338052,0.0987983851162443,0.0587049715347588,931,931.138888888889,43.0157132604074,36
5120,"4",-0.165436210342173,0.0607318197678695,-2.37325046168606,1367.5,1339.63636363636,91.5199240793856,66
5123,"1",0.457202138001334,0.345263735782181,0.926787432395026,1003,1004.83870967742,38.9795645385233,31
5124,"2",0.0110718287669751,2.60454845841311,-0.260866212850094,1128,1127.08256880734,34.6493355289735,109
5133,"1",0.968453766879544,-0.298341778913691,0.708432209562665,1003,1008.10447761194,45.579811562483,67
5135,"4",0.145293489396563,-0.683422064690199,-0.664735565633619,1077,1068.89655172414,51.700611234012,29
5137,"1",-0.0217727340637712,-0.472055314284548,0.753165545174783,963,960.56,50.222472800466,125
5139,"1",-0.943648224600711,-0.572229653911599,0.86707401237897,940,936.34693877551,51.2380943256082,98
5140,"1",1.12872754072079,0.0048203573106104,1.44208924658956,929,926.326530612245,47.0692697676795,49
5145,"1",0.595995336711657,-0.885891232647357,0.897919428020082,893,892.142857142857,41.6165609382839,98
6004,"1",-1.26360946641287,-1.18260370806455,-0.412826852687062,1025,1024.11111111111,36.6126641954281,27
6005,"4",0.582848957455793,-0.564558265507282,-0.535714351153941,1095,1104.5,68.8560802966189,98
6011,"3",2.80072530687078,-0.967349191139651,-0.76932413502756,1136,1131.38461538462,56.961027944143,39
6022,"2",-0.409118639647375,1.22957074649977,-0.248305060689797,1062,1064.41935483871,44.9150558521293,62
6025,"2",-1.11313740518773,2.23878136999851,-0.0857809589703114,994.5,986.857142857143,35.9911466525122,14
6027,"1",1.26644764672657,0.0823108469280922,0.221435364256831,1026.5,1025.35483870968,43.5001777928131,62
6028,"4",0.755658900142167,0.776557317184983,-2.03223202524565,1228.5,1222.2027027027,57.1606675118788,74
6029,"4",-0.893926500470809,-0.17176399173255,-1.25898123113656,1157,1155.64347826087,86.1412743444762,115
6033,"4",0.662768673311433,0.162859183117916,-0.923972860686991,1139,1143.072,42.8120754747024,125
6041,"1",0.182418416547569,-1.0374132474764,-0.0468485826326295,994,988,62.9694223266194,109
6043,"4",-0.726405584263596,-0.648099712163809,-1.01256483664898,1105,1111.875,36.9181745608207,32
6050,"4",-0.0477482199341202,0.195068637358425,-1.30343146998873,1160.5,1154.79230769231,48.7145929704507,130
6055,"1",0.72656979516817,-0.737911043695733,0.500229583703682,908,906.834862385321,45.2469589240983,109
6062,"2",-0.563682999185151,0.911949210204596,1.2460883788732,888,894.695652173913,50.4303613299917,23
6067,"4",-0.725934961515224,0.785009872469479,-0.982356325513596,1096.5,1109.22727272727,48.1267491389558,22
6068,"4",0.183621030421492,0.650794335206487,-0.734358754218709,1089.5,1084.98333333333,41.5665656331032,60
6069,"4",0.345895829430508,1.03206011552535,-1.6306824996868,1194,1198.14634146341,43.085705852179,41
6079,"1",-0.238400311557946,-0.193574495961609,0.0939272565923506,946,960.8,39.1267844725055,20
6084,"1",-0.615805073371677,-0.440008544167677,-0.049253246389451,1011,1012.34042553191,39.8431206381047,94
6086,"1",-0.716570866009087,-1.16161320649929,0.0925597069503776,961.5,960.532258064516,43.5580327958812,62
6087,"1",-0.947453133781555,-0.73566111220982,-0.409511649204469,1027,1020.97345132743,46.7582040503878,113
6090,"1",0.0616008192001582,0.186453083415683,1.38408061444162,759,746.317073170732,58.5454690921468,41
6092,"1",0.283742500653766,0.294543543432736,1.0474733982829,845,842.466666666667,48.053284818191,45
6093,"4",0.900093682223078,-0.112195294871303,-0.30690324337366,1000,1011.72222222222,59.6448366243694,18
6096,"1",-0.537202824695198,-0.831501736910723,0.48708669245383,851.5,849.97619047619,46.2951760091581,42
6125,"4",-1.37517792223617,-1.00538539651584,-1.88972870797279,1284,1272.34615384615,46.2090400745935,26
6126,"2",-0.594817907550697,2.80465232726728,1.14775532515486,921.5,917.625,38.3292788960301,88
6129,"1",-0.885583949239479,-1.31629548612686,-0.401705327744916,981,983.801801801802,33.4040878880578,111
6130,"1",0.908124064777565,-0.0439459630563554,1.47765700183642,864,865.423529411765,56.6949599823032,85
6131,"1",-0.653898429189517,-0.676104690813424,0.483207751011669,922,915.228571428571,47.9583677997574,35
6134,"4",0.149460535601759,0.346530818277751,-2.27689901900194,1257.5,1253.31578947368,40.588312299304,38
7010,"4",-0.31031311812222,-0.0597150111951903,-1.10223376876709,1148,1148.15789473684,88.0787606076257,76
7018,"1",0.40834433522545,-0.46983010718834,0.904717224939065,983,986.57,33.4685907330525,100
7019,"4",0.785713215967318,-0.934680237296552,-0.827814727920715,1123,1125.14285714286,36.3642866633984,35
7022,"2",0.170225339576715,1.35800833165852,0.241321210680675,1012,1014.55789473684,50.6192957468167,95
7023,"1",0.279607279834838,-0.830295955980588,1.13860006683779,912,912.980198019802,42.2236853431862,101
7024,"1",-0.853274173550859,-0.835088063856867,0.589877212694521,770,778.939130434783,53.4041668254917,115
7025,"1",-0.479671741449534,-1.13535403492154,1.10615172403756,803.5,807.108695652174,35.5185261586555,46
7027,"3",3.46784635818497,-0.489316251849492,0.560857568166192,985,982.488,47.5802574943201,125
7029,"1",-0.272082042178426,0.462590061240335,0.5653622420369,917,913.89552238806,42.5338134038969,67
7030,"3",2.42945637319482,-1.07208061666217,0.312290645788894,944.5,945.263157894737,31.6271480097095,76
7033,"2",-0.022794056924725,2.09526183883096,1.88855585687181,782,783.758333333333,68.4547321237915,120
7039,"1",0.929909548783944,-0.244852896019466,1.32487231906903,824,817.940298507463,59.6705299063406,67
7043,"1",-0.455248958837545,-0.440737491693059,0.502948641138627,915,911.842857142857,48.750365502691,70
7045,"1",-0.890865800286701,-0.379230400396753,0.114907025003994,945,944.186440677966,51.8198053524709,59
7048,"4",-0.535680970815851,-0.443813232695268,-0.408521552315206,1018,1026.96,67.1282435423502,75
7051,"1",-0.133441123922859,-0.00563223573645152,1.48577450983118,838,845.857142857143,39.8409653624056,35
7060,"1",0.205998852567601,-0.451138571563821,0.899949791363501,854,855.206349206349,42.1262153955646,63
7064,"1",-1.26831541198148,-0.786240731303498,0.487407621413446,745.5,741.581081081081,46.4029423833118,74
7065,"1",-0.848116887984945,-0.323922809738563,0.0266884621843277,993.5,990.785714285714,33.0458389593527,14
7068,"1",-0.720559960681985,-0.387436323731813,1.80961893975025,716.5,717.296296296296,40.1015831003694,54
7078,"1",-0.337293968853055,-0.213402512989538,0.0331370114834329,971,966.790322580645,44.8696242852645,62
7109,"1",-0.17188403535506,-1.28945557321685,0.468597291247922,843,856.465753424658,61.7416396031301,73
7110,"4",-0.745719020608578,0.0734916395627342,-0.511467508717042,1026,1020.70731707317,40.0035454616608,82
7114,"1",0.208805396913582,-0.153712496959573,-0.0707347555299209,948,954.173913043478,49.6777361637558,23
7115,"1",0.790816848935289,-1.17066074307282,-0.0341633815306724,967.5,980.827586206897,40.1690017219067,58
7116,"1",-1.0341776357785,0.0442035079223185,0.0303487207546028,1011,1006.84931506849,54.0544147731598,73
7119,"4",-0.141044981532636,-0.163982258478064,-1.35431013605442,1147.5,1125.44444444444,63.5491678311065,18
7128,"4",0.146157330014531,-0.544679630367865,-1.42589082083978,1155,1160.07142857143,30.6573453237499,42
7136,"1",-0.755736035248181,-0.276171300255395,0.381504379073167,941,942.246575342466,41.4851984386928,73
7138,"4",1.54305288017846,0.410896153236567,-0.998154191312268,1099,1096,48.8508862858095,45
7139,"1",-0.634711496559907,-0.549966280336891,0.029238291530181,883,888.333333333333,35.1969249993769,18
7143,"2",-1.18434043793053,1.2626283888217,-0.791433434434512,1046,1043.65384615385,47.3674506873168,26
7146,"2",0.0486527925397002,0.887619779347591,0.0857586467500645,1007,1011.92682926829,43.6648544277331,41
7150,"2",-0.344523916119111,5.17201931127749,-0.287440275140725,1084,1080.05555555556,64.1555758176694,18
7153,"1",-1.07828586357185,0.203651387687675,-0.0247560720599622,948.5,934,58.249027052324,60
7159,"4",0.0447351309232417,-0.499555440543976,-0.569058756568791,1010.5,1028.9347826087,61.4883556000332,46
7163,"4",1.63402557164216,0.276416814162478,-3.06521795585144,1294,1290.55172413793,51.0501057833636,29
7169,"4",0.931586852403124,1.79050063702921,-1.50605839599327,1132,1137.2962962963,33.7648142015128,27
8015,"4",-0.994117229840723,0.74379353335443,-1.40451257299994,1181,1177.46511627907,64.2084955205303,43
8083,"1",-0.108290857236558,-0.50310220037482,0.614711368214414,826,828.137254901961,55.674058450177,51
8145,"4",-0.390381612110546,-0.401110848207856,-0.456968048710015,949,944.862068965517,43.7817020960086,29
8146,"1",-0.727645987617713,-0.512003257926282,0.738318666682323,718,726.214285714286,39.2804092322184,14
8154,"2",-0.199816477195421,2.1538157645039,2.040678688687,816,826.51724137931,47.1597745433051,29
9010,"1",0.0905028452050804,-0.865594075789329,-0.242416761526818,936,936.551724137931,38.612161488038,29
9012,"1",-0.32313055354991,-0.295962345479454,1.00626535720325,748,753.689655172414,49.1717859348194,29
